Date,Price,Open,High,Low,Change %
"Apr 10, 2020",-0.659,-0.6559999999999999,-0.6559999999999999,-0.659,3.29%
"Apr 09, 2020",-0.638,-0.619,-0.607,-0.662,3.32%
"Apr 08, 2020",-0.618,-0.632,-0.613,-0.659,-2.29%
"Apr 07, 2020",-0.632,-0.66,-0.617,-0.6729999999999999,-4.53%
"Apr 06, 2020",-0.662,-0.664,-0.637,-0.6920000000000001,-0.90%
"Apr 03, 2020",-0.6679999999999999,-0.633,-0.622,-0.6890000000000001,2.85%
"Apr 02, 2020",-0.65,-0.672,-0.6459999999999999,-0.6859999999999999,-3.28%
"Apr 01, 2020",-0.672,-0.7240000000000001,-0.655,-0.728,-3.73%
"Mar 31, 2020",-0.6970000000000001,-0.738,-0.688,-0.738,-2.38%
"Mar 30, 2020",-0.715,-0.72,-0.6970000000000001,-0.747,3.25%
"Mar 27, 2020",-0.6920000000000001,-0.6409999999999999,-0.624,-0.716,6.54%
"Mar 26, 2020",-0.65,-0.636,-0.609,-0.665,4.84%
"Mar 25, 2020",-0.619,-0.642,-0.5920000000000001,-0.6579999999999999,-3.73%
"Mar 24, 2020",-0.643,-0.6970000000000001,-0.632,-0.716,-8.14%
"Mar 23, 2020",-0.701,-0.706,-0.67,-0.726,6.14%
"Mar 20, 2020",-0.66,-0.6609999999999999,-0.619,-0.691,-0.15%
"Mar 19, 2020",-0.6609999999999999,-0.7859999999999999,-0.643,-0.853,-11.87%
"Mar 18, 2020",-0.75,-0.8009999999999999,-0.701,-0.835,-10.82%
"Mar 17, 2020",-0.841,-0.865,-0.8190000000000001,-0.901,-4.00%
"Mar 16, 2020",-0.8759999999999999,-0.922,-0.857,-0.931,-0.11%
"Mar 13, 2020",-0.877,-0.928,-0.865,-0.964,-7.49%
"Mar 12, 2020",-0.948,-0.981,-0.894,-1.02,-0.32%
"Mar 11, 2020",-0.951,-0.938,-0.914,-0.997,-1.14%
"Mar 10, 2020",-0.962,-0.937,-0.875,-0.983,-4.37%
"Mar 09, 2020",-1.006,-0.901,-0.856,-1.038,16.30%
"Mar 07, 2020",-0.865,-0.865,-0.865,-0.865,0.00%
"Mar 06, 2020",-0.865,-0.892,-0.843,-0.897,0.58%
"Mar 05, 2020",-0.86,-0.8270000000000001,-0.8079999999999999,-0.8690000000000001,1.65%
"Mar 04, 2020",-0.846,-0.831,-0.79,-0.846,4.19%
"Mar 03, 2020",-0.812,-0.809,-0.76,-0.8290000000000001,-0.73%
"Mar 02, 2020",-0.818,-0.81,-0.764,-0.833,6.65%
"Feb 28, 2020",-0.767,-0.758,-0.7340000000000001,-0.797,4.92%
"Feb 27, 2020",-0.731,-0.718,-0.69,-0.759,4.88%
"Feb 26, 2020",-0.6970000000000001,-0.698,-0.682,-0.7140000000000001,1.31%
"Feb 25, 2020",-0.688,-0.6679999999999999,-0.6609999999999999,-0.733,1.78%
"Feb 24, 2020",-0.6759999999999999,-0.6459999999999999,-0.623,-0.682,5.13%
"Feb 21, 2020",-0.643,-0.6459999999999999,-0.626,-0.6509999999999999,0.00%
"Feb 20, 2020",-0.643,-0.642,-0.63,-0.649,0.31%
"Feb 19, 2020",-0.6409999999999999,-0.648,-0.632,-0.6509999999999999,-0.77%
"Feb 18, 2020",-0.6459999999999999,-0.659,-0.632,-0.664,-0.62%
"Feb 17, 2020",-0.65,-0.6509999999999999,-0.642,-0.659,-0.61%
"Feb 14, 2020",-0.654,-0.643,-0.63,-0.6579999999999999,1.40%
"Feb 13, 2020",-0.645,-0.639,-0.629,-0.654,1.26%
"Feb 12, 2020",-0.637,-0.635,-0.621,-0.644,-0.47%
"Feb 11, 2020",-0.64,-0.64,-0.626,-0.653,0.47%
"Feb 10, 2020",-0.637,-0.636,-0.624,-0.647,-0.31%
"Feb 07, 2020",-0.639,-0.629,-0.624,-0.645,1.43%
"Feb 06, 2020",-0.63,-0.63,-0.617,-0.647,-1.87%
"Feb 05, 2020",-0.642,-0.65,-0.631,-0.657,-1.23%
"Feb 04, 2020",-0.65,-0.6679999999999999,-0.64,-0.675,-3.56%
"Feb 03, 2020",-0.674,-0.6709999999999999,-0.655,-0.6779999999999999,0.90%
"Jan 31, 2020",-0.6679999999999999,-0.6559999999999999,-0.644,-0.68,1.52%
"Jan 30, 2020",-0.6579999999999999,-0.642,-0.632,-0.66,3.30%
"Jan 29, 2020",-0.637,-0.625,-0.619,-0.643,1.76%
"Jan 28, 2020",-0.626,-0.623,-0.613,-0.64,-0.32%
"Jan 27, 2020",-0.628,-0.618,-0.607,-0.633,2.61%
"Jan 24, 2020",-0.612,-0.596,-0.585,-0.614,2.00%
"Jan 23, 2020",-0.6,-0.5920000000000001,-0.573,-0.606,1.87%
"Jan 22, 2020",-0.589,-0.581,-0.5710000000000001,-0.5920000000000001,1.38%
"Jan 21, 2020",-0.581,-0.59,-0.565,-0.5920000000000001,-1.19%
"Jan 20, 2020",-0.588,-0.594,-0.574,-0.594,-0.84%
"Jan 17, 2020",-0.593,-0.584,-0.579,-0.598,0.00%
"Jan 16, 2020",-0.593,-0.591,-0.573,-0.601,0.00%
"Jan 15, 2020",-0.593,-0.578,-0.565,-0.599,1.37%
"Jan 14, 2020",-0.585,-0.579,-0.564,-0.59,-0.68%
"Jan 13, 2020",-0.589,-0.591,-0.568,-0.604,-1.34%
"Jan 10, 2020",-0.597,-0.5920000000000001,-0.573,-0.606,0.84%
"Jan 09, 2020",-0.5920000000000001,-0.603,-0.5720000000000001,-0.614,-2.47%
"Jan 08, 2020",-0.607,-0.629,-0.59,-0.638,-2.88%
"Jan 07, 2020",-0.625,-0.624,-0.6,-0.627,0.00%
"Jan 06, 2020",-0.625,-0.626,-0.604,-0.637,0.48%
"Jan 03, 2020",-0.622,-0.601,-0.601,-0.638,2.81%
"Jan 02, 2020",-0.605,-0.599,-0.5710000000000001,-0.614,-1.22%
"Jan 01, 2020",-0.613,-0.613,-0.613,-0.613,3.11%
"Dec 31, 2019",-0.594,-0.606,-0.594,-0.61,-2.46%
"Dec 30, 2019",-0.609,-0.618,-0.591,-0.64,-3.79%
"Dec 27, 2019",-0.633,-0.626,-0.6,-0.65,-1.63%
"Dec 26, 2019",-0.643,-0.643,-0.643,-0.643,0.00%
"Dec 25, 2019",-0.643,-0.643,-0.643,-0.643,0.00%
"Dec 24, 2019",-0.643,-0.643,-0.643,-0.643,1.66%
"Dec 23, 2019",-0.633,-0.628,-0.619,-0.6459999999999999,-1.09%
"Dec 20, 2019",-0.64,-0.622,-0.606,-0.64,1.75%
"Dec 19, 2019",-0.629,-0.634,-0.6,-0.639,-0.47%
"Dec 18, 2019",-0.632,-0.628,-0.612,-0.645,-0.94%
"Dec 17, 2019",-0.638,-0.621,-0.612,-0.644,1.75%
"Dec 16, 2019",-0.627,-0.612,-0.606,-0.636,1.46%
"Dec 13, 2019",-0.618,-0.613,-0.6,-0.632,-0.64%
"Dec 12, 2019",-0.622,-0.6409999999999999,-0.614,-0.654,-9.99%
"Dec 11, 2019",-0.691,-0.688,-0.652,-0.7,1.02%
"Dec 10, 2019",-0.684,-0.685,-0.654,-0.695,-0.73%
"Dec 09, 2019",-0.6890000000000001,-0.67,-0.6409999999999999,-0.6920000000000001,2.38%
"Dec 06, 2019",-0.6729999999999999,-0.67,-0.624,-0.685,2.12%
"Dec 05, 2019",-0.659,-0.6809999999999999,-0.639,-0.703,5.95%
"Dec 04, 2019",-0.622,-0.631,-0.616,-0.652,-1.89%
"Dec 03, 2019",-0.634,-0.61,-0.6,-0.6409999999999999,3.26%
"Dec 02, 2019",-0.614,-0.623,-0.588,-0.636,-2.38%
"Nov 29, 2019",-0.629,-0.633,-0.618,-0.643,0.00%
"Nov 28, 2019",-0.629,-0.6409999999999999,-0.622,-0.6459999999999999,-0.63%
"Nov 27, 2019",-0.633,-0.629,-0.605,-0.64,0.32%
"Nov 26, 2019",-0.631,-0.631,-0.619,-0.6409999999999999,0.80%
"Nov 25, 2019",-0.626,-0.635,-0.618,-0.638,-1.42%
"Nov 22, 2019",-0.635,-0.616,-0.612,-0.6409999999999999,2.58%
"Nov 21, 2019",-0.619,-0.64,-0.612,-0.653,-1.28%
"Nov 20, 2019",-0.627,-0.635,-0.621,-0.652,0.64%
"Nov 19, 2019",-0.623,-0.615,-0.61,-0.636,0.97%
