"Date","Price","Open","High","Low","Change %"
"Mar 08, 2020","0.502","0.507","0.507","0.495","-34.99%"
"Mar 09, 2020","0.559","0.501","0.603","0.318","11.24%"
"Apr 05, 2020","0.613","0.612","0.613","0.612","2.35%"
"Apr 03, 2020","0.599","0.611","0.623","0.568","-1.91%"
"Apr 02, 2020","0.611","0.572","0.636","0.568","1.53%"
"Mar 29, 2020","0.665","0.667","0.667","0.665","-1.63%"
"Apr 01, 2020","0.602","0.663","0.676","0.571","-9.88%"
"Apr 06, 2020","0.678","0.617","0.684","0.612","10.46%"
"Mar 15, 2020","0.681","0.670","0.703","0.670","-30.75%"
"Mar 31, 2020","0.668","0.722","0.731","0.651","-8.05%"
"Mar 30, 2020","0.726","0.667","0.731","0.599","9.20%"
"Apr 09, 2020","0.729","0.775","0.777","0.714","-5.45%"
"Apr 08, 2020","0.771","0.717","0.779","0.695","6.08%"
"Apr 07, 2020","0.726","0.695","0.785","0.678","7.19%"
"Mar 10, 2020","0.800","0.617","0.813","0.565","43.11%"
"Mar 22, 2020","0.793","0.815","0.815","0.793","-10.44%"
"Mar 27, 2020","0.676","0.840","0.854","0.670","-20.25%"
"Mar 26, 2020","0.848","0.827","0.859","0.770","-2.41%"
"Mar 16, 2020","0.740","0.668","0.859","0.634","8.71%"
"Mar 25, 2020","0.869","0.853","0.878","0.783","1.28%"
"Mar 23, 2020","0.763","0.791","0.879","0.692","-3.82%"
"Mar 11, 2020","0.877","0.759","0.895","0.638","9.62%"
"Mar 24, 2020","0.858","0.775","0.898","0.774","12.48%"
"Mar 12, 2020","0.812","0.849","0.909","0.636","-7.41%"
"Mar 06, 2020","0.773","0.918","0.920","0.660","-15.70%"
"Mar 13, 2020","0.983","0.823","1.023","0.725","21.06%"
"Mar 05, 2020","0.917","1.054","1.054","0.899","-13.08%"
"Mar 04, 2020","1.055","0.984","1.064","0.931","5.61%"
"Mar 17, 2020","1.069","0.747","1.105","0.740","44.46%"
"Mar 01, 2020","1.103","1.106","1.106","1.098","-5.17%"
"Mar 02, 2020","1.152","1.105","1.168","1.030","4.45%"
"Mar 03, 2020","0.999","1.163","1.173","0.906","-13.28%"
"Mar 18, 2020","1.183","1.044","1.266","0.989","10.66%"
"Mar 19, 2020","1.158","1.149","1.279","1.007","-2.07%"
"Mar 20, 2020","0.885","1.125","1.283","0.849","-23.58%"
"Feb 28, 2020","1.163","1.282","1.289","1.116","-8.71%"
"Feb 27, 2020","1.274","1.330","1.335","1.241","-4.57%"
"Jul 10, 2016","1.366","1.358","1.366","1.358","0.61%"
"Feb 26, 2020","1.335","1.359","1.382","1.301","-1.48%"
"Jul 24, 2012","1.391","1.391","1.391","1.391","-3.27%"
"Jul 06, 2016","1.373","1.367","1.395","1.321","-0.15%"
"Jul 25, 2012","1.397","1.397","1.397","1.397","0.43%"
"Feb 25, 2020","1.355","1.387","1.416","1.307","-1.17%"
"Jul 07, 2016","1.385","1.370","1.422","1.355","0.87%"
"Jul 11, 2016","1.430","1.366","1.435","1.358","4.66%"
"Jul 26, 2012","1.438","1.438","1.438","1.438","2.93%"
"Jul 23, 2012","1.438","1.438","1.438","1.438","-1.37%"
"Jul 05, 2016","1.375","1.439","1.441","1.357","-4.57%"
"Jul 08, 2016","1.358","1.390","1.442","1.346","-1.95%"
"Feb 24, 2020","1.371","1.456","1.456","1.352","-6.92%"
"Jul 04, 2016","1.441","1.456","1.456","1.439","-1.04%"
"Jul 20, 2012","1.458","1.458","1.458","1.458","-3.51%"
"Jun 01, 2012","1.459","1.459","1.459","1.459","-6.65%"
"Jul 31, 2016","1.463","1.450","1.463","1.450","0.92%"
"Jul 31, 2012","1.470","1.470","1.470","1.470","-2.00%"
"Jul 16, 2012","1.471","1.471","1.471","1.471","-1.34%"
"Feb 23, 2020","1.473","1.473","1.473","1.473","0.00%"
"Jul 01, 2016","1.456","1.471","1.473","1.382","-1.29%"
"Aug 25, 2019","1.476","1.473","1.476","1.473","-3.71%"
"Aug 02, 2012","1.478","1.478","1.478","1.478","-3.02%"
"Jul 12, 2012","1.478","1.478","1.478","1.478","-2.44%"
"Jun 28, 2016","1.465","1.439","1.483","1.428","1.45%"
"Aug 28, 2019","1.468","1.479","1.490","1.446","-0.41%"
"Jul 13, 2012","1.491","1.491","1.491","1.491","0.88%"
"Jul 18, 2012","1.494","1.494","1.494","1.494","-0.93%"
"Sep 04, 2019","1.471","1.452","1.499","1.451","0.62%"
"Jul 30, 2012","1.500","1.500","1.500","1.500","-2.91%"
"Jul 10, 2012","1.502","1.502","1.502","1.502","-0.73%"
"Jul 13, 2016","1.473","1.508","1.508","1.459","-2.26%"
"Jul 17, 2012","1.508","1.508","1.508","1.508","2.52%"
"Sep 02, 2019","1.506","1.510","1.510","1.506","0.48%"
"Aug 13, 2016","1.510","1.510","1.510","1.510","0.00%"
"Jul 19, 2012","1.511","1.511","1.511","1.511","1.14%"
"Aug 14, 2016","1.512","1.510","1.512","1.508","0.11%"
"Jul 09, 2012","1.513","1.513","1.513","1.513","-2.32%"
"Jul 11, 2012","1.515","1.515","1.515","1.515","0.87%"
"Jun 26, 2016","1.509","1.514","1.516","1.500","-3.41%"
"Jun 29, 2016","1.517","1.465","1.519","1.454","3.55%"
"Feb 02, 2020","1.515","1.520","1.520","1.515","0.68%"
"Oct 06, 2019","1.515","1.520","1.520","1.515","-0.90%"
"Feb 21, 2020","1.473","1.515","1.524","1.439","-3.03%"
"Aug 01, 2012","1.524","1.524","1.524","1.524","3.67%"
"Jun 04, 2012","1.524","1.524","1.524","1.524","4.46%"
"Jun 27, 2016","1.444","1.507","1.526","1.436","-4.29%"
"Aug 01, 2016","1.520","1.463","1.527","1.463","3.87%"
"Jul 12, 2016","1.507","1.425","1.531","1.422","5.38%"
"Aug 29, 2019","1.496","1.468","1.535","1.444","1.91%"
"Jul 28, 2016","1.508","1.504","1.535","1.492","0.33%"
"Sep 03, 2019","1.462","1.508","1.537","1.429","-2.93%"
"Aug 27, 2019","1.474","1.530","1.537","1.471","-4.16%"
"Aug 30, 2019","1.499","1.496","1.543","1.493","0.20%"
"Aug 10, 2016","1.513","1.545","1.545","1.501","-2.32%"
"Jul 27, 2012","1.545","1.545","1.545","1.545","7.44%"
"Jun 30, 2016","1.475","1.512","1.546","1.453","-2.77%"
"Aug 31, 2012","1.548","1.548","1.548","1.548","-4.91%"
"Aug 26, 2019","1.538","1.478","1.549","1.443","4.19%"
"Sep 07, 2016","1.536","1.541","1.549","1.519","0.00%"
"Jul 06, 2012","1.549","1.549","1.549","1.549","-3.13%"
"Jul 14, 2016","1.537","1.471","1.551","1.466","4.34%"
"Oct 04, 2019","1.529","1.536","1.556","1.507","-0.33%"
"Aug 04, 2016","1.502","1.544","1.556","1.484","-2.78%"
"Jul 17, 2016","1.558","1.558","1.558","1.558","0.00%"
"Sep 08, 2019","1.560","1.559","1.560","1.559","0.00%"
"Aug 15, 2016","1.558","1.512","1.561","1.498","3.06%"
"Feb 09, 2020","1.559","1.563","1.563","1.559","-1.43%"
"Aug 12, 2016","1.510","1.559","1.563","1.480","-3.27%"
"May 31, 2012","1.563","1.563","1.563","1.563","-3.46%"
