Date,Price,Open,High,Low,Change %
"Apr 09, 2020",0.231,0.256,0.259,0.213,-9.61%
"Apr 08, 2020",0.256,0.266,0.28800000000000003,0.24,-4.48%
"Apr 07, 2020",0.268,0.274,0.304,0.262,0.00%
"Apr 06, 2020",0.268,0.239,0.27,0.237,13.26%
"Apr 05, 2020",0.237,0.235,0.237,0.235,4.36%
"Apr 03, 2020",0.227,0.231,0.245,0.205,-0.26%
"Apr 02, 2020",0.228,0.202,0.235,0.202,-6.53%
"Apr 01, 2020",0.243,0.242,0.255,0.21,-3.95%
"Mar 31, 2020",0.253,0.226,0.259,0.206,10.17%
"Mar 30, 2020",0.23,0.244,0.275,0.22,-8.59%
"Mar 29, 2020",0.252,0.248,0.252,0.248,1.57%
"Mar 27, 2020",0.248,0.299,0.299,0.234,-17.05%
"Mar 26, 2020",0.299,0.326,0.332,0.261,-12.10%
"Mar 25, 2020",0.34,0.371,0.389,0.312,-10.96%
"Mar 24, 2020",0.382,0.32,0.412,0.293,19.11%
"Mar 23, 2020",0.32,0.297,0.338,0.234,7.70%
"Mar 22, 2020",0.297,0.307,0.309,0.297,-8.60%
"Mar 20, 2020",0.325,0.446,0.448,0.293,-29.06%
"Mar 19, 2020",0.459,0.498,0.557,0.339,-15.06%
"Mar 18, 2020",0.54,0.463,0.562,0.416,8.43%
"Mar 17, 2020",0.498,0.408,0.525,0.35100000000000003,33.16%
"Mar 16, 2020",0.374,0.319,0.398,0.272,13.64%
"Mar 15, 2020",0.329,0.303,0.341,0.303,-35.22%
"Mar 13, 2020",0.508,0.495,0.544,0.428,7.86%
"Mar 12, 2020",0.471,0.535,0.535,0.36,-9.60%
"Mar 11, 2020",0.521,0.495,0.539,0.417,-4.58%
"Mar 10, 2020",0.546,0.456,0.55,0.393,33.82%
"Mar 09, 2020",0.408,0.301,0.4320000000000001,0.251,33.64%
"Mar 08, 2020",0.305,0.333,0.333,0.305,-40.14%
"Mar 06, 2020",0.51,0.593,0.601,0.394,-15.14%
"Mar 05, 2020",0.601,0.6970000000000001,0.6970000000000001,0.5539999999999999,-13.02%
"Mar 04, 2020",0.691,0.6890000000000001,0.7040000000000001,0.614,-1.43%
"Mar 03, 2020",0.701,0.907,0.911,0.628,-21.68%
"Mar 02, 2020",0.895,0.8340000000000001,0.919,0.71,7.56%
"Mar 01, 2020",0.8320000000000001,0.836,0.836,0.8320000000000001,-10.62%
