"Date","Price","Open","High","Low","Change %"
"Dec 11, 2020","0.121","0.139","0.139","0.117","-12.89%"
"Dec 10, 2020","0.139","0.149","0.149","0.139","-7.89%"
"Dec 09, 2020","0.151","0.157","0.159","0.151","0.00%"
"Dec 08, 2020","0.151","0.145","0.153","0.141","4.14%"
"Dec 07, 2020","0.145","0.153","0.155","0.143","-5.17%"
"Dec 04, 2020","0.153","0.154","0.161","0.149","0.00%"
"Dec 03, 2020","0.153","0.162","0.164","0.151","-5.98%"
"Dec 02, 2020","0.162","0.166","0.168","0.160","-4.59%"
"Dec 01, 2020","0.170","0.150","0.174","0.147","13.02%"
"Nov 30, 2020","0.150","0.154","0.158","0.147","-3.71%"
"Nov 29, 2020","0.156","0.154","0.156","0.154","1.23%"
"Nov 27, 2020","0.154","0.154","0.156","0.154","-1.22%"
"Nov 26, 2020","0.156","0.156","0.156","0.156","-3.64%"
"Nov 25, 2020","0.162","0.166","0.166","0.156","-1.16%"
"Nov 24, 2020","0.164","0.168","0.170","0.160","0.43%"
"Nov 23, 2020","0.163","0.190","0.190","0.159","1.24%"
"Nov 22, 2020","0.161","0.161","0.161","0.161","0.00%"
"Nov 20, 2020","0.161","0.163","0.167","0.159","-3.47%"
"Nov 19, 2020","0.167","0.171","0.175","0.165","-4.62%"
"Nov 18, 2020","0.175","0.173","0.179","0.171","0.00%"
"Nov 17, 2020","0.175","0.177","0.181","0.171","-2.18%"
"Nov 16, 2020","0.179","0.183","0.183","0.173","-2.18%"
"Nov 15, 2020","0.183","0.185","0.185","0.183","1.10%"
"Nov 13, 2020","0.181","0.181","0.183","0.175","2.43%"
"Nov 12, 2020","0.177","0.183","0.185","0.173","-5.30%"
"Nov 11, 2020","0.187","0.187","0.187","0.187","1.08%"
"Nov 10, 2020","0.185","0.175","0.185","0.171","5.78%"
"Nov 09, 2020","0.175","0.155","0.189","0.149","11.42%"
"Nov 08, 2020","0.157","0.157","0.157","0.157","1.29%"
"Nov 06, 2020","0.155","0.147","0.159","0.147","4.03%"
"Nov 05, 2020","0.149","0.147","0.157","0.143","0.00%"
"Nov 04, 2020","0.149","0.176","0.178","0.143","-12.63%"
"Nov 03, 2020","0.170","0.162","0.174","0.160","7.45%"
"Nov 02, 2020","0.158","0.154","0.158","0.153","2.59%"
"Nov 01, 2020","0.154","0.154","0.154","0.154","-1.28%"
"Oct 30, 2020","0.156","0.150","0.156","0.147","2.56%"
"Oct 29, 2020","0.153","0.150","0.154","0.143","1.33%"
"Oct 28, 2020","0.150","0.149","0.153","0.145","0.74%"
"Oct 27, 2020","0.149","0.154","0.154","0.147","-1.32%"
"Oct 26, 2020","0.151","0.155","0.155","0.147","-2.57%"
"Oct 23, 2020","0.155","0.151","0.157","0.149","0.00%"
"Oct 22, 2020","0.155","0.149","0.157","0.147","4.09%"
"Oct 21, 2020","0.149","0.147","0.153","0.147","1.36%"
"Oct 20, 2020","0.147","0.149","0.151","0.145","0.00%"
"Oct 19, 2020","0.147","0.151","0.153","0.145","-1.34%"
"Oct 18, 2020","0.149","0.151","0.151","0.149","1.36%"
"Oct 16, 2020","0.147","0.139","0.147","0.135","2.87%"
"Oct 15, 2020","0.143","0.141","0.143","0.135","1.42%"
"Oct 14, 2020","0.141","0.141","0.145","0.139","0.00%"
"Oct 13, 2020","0.141","0.149","0.153","0.141","-10.20%"
"Oct 09, 2020","0.157","0.147","0.157","0.147","5.44%"
"Oct 08, 2020","0.149","0.153","0.155","0.147","-2.55%"
"Oct 07, 2020","0.153","0.151","0.159","0.149","4.09%"
"Oct 06, 2020","0.147","0.149","0.151","0.141","-1.34%"
"Oct 05, 2020","0.149","0.133","0.151","0.129","10.31%"
"Oct 04, 2020","0.135","0.135","0.135","0.135","1.43%"
"Oct 02, 2020","0.133","0.129","0.137","0.123","3.10%"
"Oct 01, 2020","0.129","0.131","0.139","0.127","-1.53%"
"Sep 30, 2020","0.131","0.127","0.131","0.121","3.07%"
"Sep 29, 2020","0.127","0.129","0.131","0.125","-1.47%"
"Sep 28, 2020","0.129","0.133","0.135","0.127","-2.94%"
"Sep 27, 2020","0.133","0.131","0.133","0.131","1.45%"
"Sep 25, 2020","0.131","0.137","0.137","0.125","-4.24%"
"Sep 24, 2020","0.137","0.141","0.141","0.135","-2.77%"
"Sep 23, 2020","0.141","0.137","0.143","0.133","2.55%"
"Sep 22, 2020","0.137","0.137","0.141","0.133","-1.44%"
"Sep 21, 2020","0.139","0.149","0.149","0.133","-1.42%"
"Sep 18, 2020","0.141","0.137","0.143","0.131","1.51%"
"Sep 17, 2020","0.139","0.137","0.139","0.127","0.00%"
"Sep 16, 2020","0.139","0.141","0.143","0.133","-1.42%"
"Sep 15, 2020","0.141","0.139","0.143","0.137","2.92%"
"Sep 14, 2020","0.137","0.133","0.139","0.129","4.58%"
"Sep 13, 2020","0.131","0.131","0.131","0.131","1.55%"
"Sep 11, 2020","0.129","0.141","0.143","0.129","-7.13%"
"Sep 10, 2020","0.139","0.145","0.151","0.139","-5.38%"
"Sep 09, 2020","0.147","0.141","0.149","0.139","2.73%"
"Sep 08, 2020","0.143","0.141","0.145","0.135","1.49%"
"Sep 07, 2020","0.141","0.141","0.141","0.141","-4.09%"
"Sep 04, 2020","0.147","0.131","0.153","0.129","15.59%"
"Sep 03, 2020","0.127","0.135","0.141","0.123","-5.79%"
"Sep 02, 2020","0.135","0.131","0.141","0.131","1.51%"
"Sep 01, 2020","0.133","0.135","0.141","0.131","0.00%"
"Aug 31, 2020","0.133","0.131","0.137","0.129","3.03%"
"Aug 30, 2020","0.129","0.129","0.129","0.129","-2.94%"
"Aug 28, 2020","0.133","0.160","0.164","0.129","-17.10%"
"Aug 27, 2020","0.160","0.150","0.162","0.139","5.12%"
"Aug 26, 2020","0.152","0.150","0.160","0.150","-0.65%"
"Aug 25, 2020","0.153","0.157","0.170","0.149","-1.29%"
"Aug 24, 2020","0.155","0.145","0.157","0.143","7.02%"
"Aug 23, 2020","0.145","0.147","0.147","0.145","-1.43%"
"Aug 21, 2020","0.147","0.147","0.149","0.137","2.94%"
"Aug 20, 2020","0.143","0.141","0.145","0.133","-1.38%"
"Aug 19, 2020","0.145","0.141","0.147","0.139","0.00%"
"Aug 18, 2020","0.145","0.155","0.155","0.143","-5.23%"
"Aug 17, 2020","0.153","0.147","0.153","0.143","4.15%"
"Aug 16, 2020","0.147","0.147","0.147","0.147","0.00%"
"Aug 14, 2020","0.147","0.165","0.167","0.145","-10.86%"
"Aug 13, 2020","0.165","0.159","0.167","0.155","2.49%"
"Aug 12, 2020","0.161","0.147","0.163","0.147","5.23%"
"Aug 11, 2020","0.153","0.133","0.161","0.131","16.81%"
"Aug 10, 2020","0.131","0.127","0.133","0.119","1.47%"
"Aug 09, 2020","0.129","0.129","0.129","0.129","0.00%"
"Aug 07, 2020","0.129","0.117","0.131","0.113","10.16%"
"Aug 06, 2020","0.117","0.119","0.119","0.109","-1.68%"
"Aug 05, 2020","0.119","0.113","0.121","0.109","9.07%"
"Aug 04, 2020","0.109","0.113","0.115","0.107","-3.53%"
"Aug 03, 2020","0.113","0.107","0.115","0.107","5.50%"
"Aug 02, 2020","0.107","0.107","0.107","0.107","-1.83%"
"Jul 31, 2020","0.109","0.119","0.121","0.107","-9.74%"
"Jul 30, 2020","0.121","0.131","0.133","0.117","-8.81%"
"Jul 29, 2020","0.133","0.143","0.147","0.127","-6.87%"
"Jul 28, 2020","0.143","0.152","0.154","0.139","-7.10%"
"Jul 27, 2020","0.154","0.149","0.160","0.141","2.74%"
"Jul 26, 2020","0.149","0.147","0.149","0.147","0.00%"
"Jul 24, 2020","0.149","0.157","0.166","0.145","-2.54%"
"Jul 23, 2020","0.153","0.147","0.180","0.145","0.00%"
"Jul 22, 2020","0.153","0.141","0.153","0.137","7.05%"
"Jul 21, 2020","0.143","0.149","0.153","0.139","-4.02%"
"Jul 20, 2020","0.149","0.147","0.151","0.141","4.26%"
"Jul 17, 2020","0.143","0.147","0.151","0.139","-2.65%"
"Jul 16, 2020","0.147","0.153","0.157","0.145","-6.37%"
"Jul 15, 2020","0.157","0.161","0.163","0.149","-1.26%"
"Jul 14, 2020","0.159","0.159","0.161","0.147","2.65%"
"Jul 13, 2020","0.155","0.151","0.165","0.147","4.03%"
"Jul 12, 2020","0.149","0.149","0.149","0.149","-5.10%"
"Jul 10, 2020","0.157","0.155","0.157","0.135","2.68%"
"Jul 09, 2020","0.153","0.161","0.165","0.145","-6.03%"
"Jul 08, 2020","0.163","0.159","0.167","0.155","1.25%"
"Jul 07, 2020","0.161","0.159","0.165","0.155","1.26%"
"Jul 06, 2020","0.159","0.155","0.167","0.155","2.59%"
"Jul 05, 2020","0.155","0.153","0.155","0.153","0.00%"
"Jul 02, 2020","0.155","0.162","0.174","0.153","-5.85%"
"Jul 01, 2020","0.164","0.152","0.168","0.150","6.35%"
"Jun 30, 2020","0.154","0.150","0.156","0.145","1.31%"
"Jun 29, 2020","0.152","0.164","0.170","0.150","-7.13%"
"Jun 28, 2020","0.164","0.166","0.166","0.164","-2.32%"
"Jun 26, 2020","0.168","0.186","0.188","0.164","-10.45%"
"Jun 25, 2020","0.188","0.190","0.190","0.178","0.00%"
"Jun 24, 2020","0.188","0.192","0.197","0.186","-1.16%"
"Jun 23, 2020","0.190","0.194","0.198","0.188","-3.01%"
"Jun 22, 2020","0.196","0.188","0.196","0.182","3.22%"
"Jun 21, 2020","0.190","0.188","0.190","0.188","0.00%"
"Jun 19, 2020","0.190","0.195","0.200","0.182","-2.92%"
"Jun 18, 2020","0.195","0.195","0.199","0.189","0.00%"
"Jun 17, 2020","0.195","0.205","0.205","0.193","-0.96%"
"Jun 16, 2020","0.197","0.199","0.205","0.187","2.12%"
"Jun 15, 2020","0.193","0.183","0.197","0.177","-0.97%"
"Jun 12, 2020","0.195","0.209","0.209","0.183","-2.84%"
"Jun 11, 2020","0.201","0.173","0.207","0.169","16.16%"
"Jun 10, 2020","0.173","0.208","0.210","0.171","-15.51%"
"Jun 09, 2020","0.204","0.228","0.228","0.202","-11.17%"
"Jun 08, 2020","0.230","0.210","0.232","0.204","8.49%"
"Jun 07, 2020","0.212","0.216","0.216","0.212","0.95%"
"Jun 05, 2020","0.210","0.194","0.238","0.188","6.16%"
"Jun 04, 2020","0.198","0.198","0.204","0.184","3.13%"
"Jun 03, 2020","0.192","0.168","0.202","0.166","15.39%"
"Jun 02, 2020","0.166","0.158","0.172","0.156","3.74%"
"Jun 01, 2020","0.160","0.156","0.172","0.154","1.26%"
"May 31, 2020","0.158","0.156","0.158","0.156","-3.59%"
"May 29, 2020","0.164","0.166","0.170","0.154","-5.63%"
"May 28, 2020","0.174","0.186","0.188","0.170","-5.33%"
"May 27, 2020","0.184","0.170","0.188","0.160","5.81%"
"May 26, 2020","0.174","0.170","0.190","0.168","1.22%"
"May 25, 2020","0.172","0.174","0.174","0.172","1.18%"
"May 22, 2020","0.170","0.167","0.172","0.160","1.37%"
"May 21, 2020","0.167","0.165","0.173","0.159","-1.18%"
"May 20, 2020","0.169","0.167","0.177","0.155","1.26%"
"May 19, 2020","0.167","0.175","0.183","0.165","-7.78%"
"May 18, 2020","0.181","0.143","0.185","0.139","26.69%"
"May 17, 2020","0.143","0.145","0.145","0.143","-5.29%"
"May 15, 2020","0.151","0.155","0.157","0.135","1.41%"
"May 14, 2020","0.149","0.159","0.167","0.145","-9.64%"
"May 13, 2020","0.165","0.163","0.171","0.143","-1.14%"
"May 12, 2020","0.167","0.175","0.187","0.161","-5.66%"
"May 11, 2020","0.177","0.163","0.183","0.141","9.95%"
"May 10, 2020","0.161","0.161","0.161","0.161","0.00%"
"May 08, 2020","0.161","0.135","0.163","0.105","15.85%"
"May 07, 2020","0.139","0.176","0.186","0.129","-23.02%"
"May 06, 2020","0.180","0.190","0.202","0.176","-5.16%"
"May 05, 2020","0.190","0.186","0.210","0.180","3.26%"
"May 04, 2020","0.184","0.204","0.204","0.178","-6.93%"
"May 03, 2020","0.198","0.198","0.198","0.198","0.00%"
