Period Ending,Initial Claims
1971-01-31,172620
1971-02-28,140364
1971-03-31,142435
1971-04-30,134342
1971-05-31,127409
1971-06-30,157526
1971-07-31,168579
1971-08-31,150285
1971-09-30,157330
1971-10-31,123278
1971-11-30,164852
1971-12-31,216603
1972-01-31,176635
1972-02-29,146372
1972-03-31,140176
1972-04-30,123781
1972-05-31,139517
1972-06-30,145004
1972-07-31,173178
1972-08-31,124307
1972-09-30,103134
1972-10-31,115776
1972-11-30,135878
1972-12-31,177333
1973-01-31,165519
1973-02-28,117369
1973-03-31,114290
1973-04-30,120910
1973-05-31,121491
1973-06-30,119784
1973-07-31,149074
1973-08-31,110234
1973-09-30,102520
1973-10-31,123709
1973-11-30,141731
1973-12-31,214404
1974-01-31,189868
1974-02-28,144054
1974-03-31,134595
1974-04-30,136231
1974-05-31,130982
1974-06-30,133581
1974-07-31,176463
1974-08-31,131100
1974-09-30,142687
1974-10-31,169105
1974-11-30,196792
1974-12-31,308352
1975-01-31,270984
1975-02-28,198756
1975-03-31,188847
1975-04-30,186107
1975-05-31,174682
1975-06-30,179440
1975-07-31,216822
1975-08-31,153443
1975-09-30,158950
1975-10-31,167811
1975-11-30,162161
1975-12-31,247846
1976-01-31,186229
1976-02-29,149482
1976-03-31,162010
1976-04-30,149279
1976-05-31,140636
1976-06-30,166278
1976-07-31,180539
1976-08-31,144529
1976-09-30,145872
1976-10-31,149468
1976-11-30,170488
1976-12-31,203876
1977-01-31,180729
1977-02-28,222583
1977-03-31,150393
1977-04-30,136526
1977-05-31,130278
1977-06-30,142928
1977-07-31,155015
1977-08-31,134183
1977-09-30,132326
1977-10-31,127177
1977-11-30,149824
1977-12-31,195976
1978-01-31,167774
1978-02-28,136652
1978-03-31,143781
1978-04-30,117969
1978-05-31,123689
1978-06-30,156174
1978-07-31,169819
1978-08-31,132964
1978-09-30,118033
1978-10-31,132276
1978-11-30,147854
1978-12-31,189285
1979-01-31,180170
1979-02-28,128801
1979-03-31,125934
1979-04-30,140177
1979-05-31,126996
1979-06-30,137098
1979-07-31,171316
1979-08-31,124647
1979-09-30,110253
1979-10-31,137172
1979-11-30,148034
1979-12-31,195256
1980-01-31,171871
1980-02-29,128630
1980-03-31,124482
1980-04-30,171767
1980-05-31,146535
1980-06-30,151371
1980-07-31,164428
1980-08-31,112675
1980-09-30,133510
1980-10-31,129622
1980-11-30,127062
1980-12-31,194390
1981-01-31,153303
1981-02-28,114225
1981-03-31,115885
1981-04-30,122134
1981-05-31,100932
1981-06-30,129014
1981-07-31,147541
1981-08-31,102371
1981-09-30,119349
1981-10-31,124752
1981-11-30,145583
1981-12-31,206354
1982-01-31,156967
1982-02-28,129416
1982-03-31,134002
1982-04-30,135588
1982-05-31,112121
1982-06-30,134308
1982-07-31,154693
1982-08-31,127128
1982-09-30,134387
1982-10-31,134097
1982-11-30,160083
1982-12-31,195480
1983-01-31,159641
1983-02-28,122244
1983-03-31,135751
1983-04-30,125415
1983-05-31,108369
1983-06-30,126480
1983-07-31,126010
1983-08-31,127380
1983-09-30,100015
1983-10-31,99580
1983-11-30,119446
1983-12-31,152272
1984-01-31,135182
1984-02-29,99495
1984-03-31,97599
1984-04-30,105331
1984-05-31,96637
1984-06-30,98679
1984-07-31,114039
1984-08-31,93014
1984-09-30,80884
1984-10-31,101954
1984-11-30,115105
1984-12-31,136702
1985-01-31,140619
1985-02-28,103606
1985-03-31,94910
1985-04-30,108086
1985-05-31,91560
1985-06-30,88449
1985-07-31,109034
1985-08-31,80242
1985-09-30,80019
1985-10-31,95159
1985-11-30,103491
1985-12-31,142211
1986-01-31,115702
1986-02-28,87991
1986-03-31,88752
1986-04-30,95411
1986-05-31,83867
1986-06-30,81669
1986-07-31,109853
1986-08-31,79943
1986-09-30,78414
1986-10-31,91478
1986-11-30,93187
1986-12-31,131540
1987-01-31,105792
1987-02-28,81390
1987-03-31,79567
1987-04-30,89725
1987-05-31,73586
1987-06-30,86716
1987-07-31,93667
1987-08-31,65252
1987-09-30,68421
1987-10-31,72197
1987-11-30,85503
1987-12-31,124513
1988-01-31,99870
1988-02-29,80357
1988-03-31,78842
1988-04-30,75905
1988-05-31,65994
1988-06-30,79686
1988-07-31,83948
1988-08-31,67451
1988-09-30,61523
1988-10-31,65816
1988-11-30,87143
1988-12-31,112905
1989-01-31,98925
1989-02-28,79450
1989-03-31,88144
1989-04-30,72390
1989-05-31,77915
1989-06-30,88084
1989-07-31,83633
1989-08-31,88861
1989-09-30,75124
1989-10-31,118000
1989-11-30,105047
1989-12-31,122455
1990-01-31,138428
1990-02-28,88593
1990-03-31,88544
1990-04-30,90842
1990-05-31,85563
1990-06-30,86856
1990-07-31,102186
1990-08-31,89983
1990-09-30,76368
1990-10-31,105901
1990-11-30,127588
1990-12-31,137009
1991-01-31,170356
1991-02-28,122074
1991-03-31,118209
1991-04-30,120673
1991-05-31,101756
1991-06-30,96287
1991-07-31,134021
1991-08-31,99943
1991-09-30,91326
1991-10-31,106153
1991-11-30,112904
1991-12-31,152752
1992-01-31,172624
1992-02-29,119771
1992-03-31,117665
1992-04-30,111634
1992-05-31,96337
1992-06-30,101475
1992-07-31,142715
1992-08-31,88958
1992-09-30,89391
1992-10-31,91994
1992-11-30,95313
1992-12-31,125496
1993-01-31,116820
1993-02-28,87207
1993-03-31,95579
1993-04-30,94494
1993-05-31,72989
1993-06-30,85944
1993-07-31,100903
1993-08-31,75640
1993-09-30,74525
1993-10-31,80572
1993-11-30,98611
1993-12-31,119953
1994-01-31,120349
1994-02-28,86459
1994-03-31,95932
1994-04-30,85538
1994-05-31,84682
1994-06-30,84669
1994-07-31,93073
1994-08-31,80831
1994-09-30,78140
1994-10-31,79450
1994-11-30,98230
1994-12-31,113422
1995-01-31,134387
1995-02-28,92031
1995-03-31,96892
1995-04-30,87900
1995-05-31,91391
1995-06-30,92267
1995-07-31,106244
1995-08-31,84088
1995-09-30,76710
1995-10-31,86297
1995-11-30,107232
1995-12-31,107774
1996-01-31,140665
1996-02-29,96727
1996-03-31,96043
1996-04-30,95505
1996-05-31,80291
1996-06-30,75171
1996-07-31,101073
1996-08-31,76426
1996-09-30,67592
1996-10-31,81384
1996-11-30,89114
1996-12-31,122057
1997-01-31,125248
1997-02-28,85086
1997-03-31,75534
1997-04-30,86964
1997-05-31,76606
1997-06-30,73775
1997-07-31,93311
1997-08-31,66849
1997-09-30,65839
1997-10-31,77715
1997-11-30,79752
1997-12-31,118717
1998-01-31,109346
1998-02-28,81845
1998-03-31,74909
1998-04-30,85860
1998-05-31,62701
1998-06-30,81425
1998-07-31,94962
1998-08-31,61137
1998-09-30,62732
1998-10-31,69017
1998-11-30,80993
1998-12-31,129746
1999-01-31,88215
1999-02-28,78092
1999-03-31,77132
1999-04-30,82478
1999-05-31,58811
1999-06-30,63406
1999-07-31,81289
1999-08-31,58875
1999-09-30,56126
1999-10-31,58068
1999-11-30,72047
1999-12-31,94179
2000-01-31,101006
2000-02-29,69418
2000-03-31,68436
2000-04-30,61987
2000-05-31,65338
2000-06-30,62112
2000-07-31,72442
2000-08-31,65083
2000-09-30,51226
2000-10-31,59796
2000-11-30,80983
2000-12-31,84700
2001-01-31,120781
2001-02-28,78361
2001-03-31,84745
2001-04-30,90967
2001-05-31,80124
2001-06-30,78573
2001-07-31,99782
2001-08-31,83450
2001-09-30,93724
2001-10-31,122180
2001-11-30,118352
2001-12-31,110639
2002-01-31,151046
2002-02-28,96314
2002-03-31,93560
2002-04-30,109895
2002-05-31,88468
2002-06-30,80025
2002-07-31,111794
2002-08-31,84291
2002-09-30,80682
2002-10-31,96663
2002-11-30,96347
2002-12-31,130376
2003-01-31,142839
2003-02-28,101550
2003-03-31,87608
2003-04-30,109488
2003-05-31,93290
2003-06-30,86091
2003-07-31,118354
2003-08-31,80383
2003-09-30,85031
2003-10-31,88162
2003-11-30,86579
2003-12-31,133514
2004-01-31,128555
2004-02-29,95204
2004-03-31,83766
2004-04-30,101157
2004-05-31,70311
2004-06-30,81914
2004-07-31,103728
2004-08-31,77314
2004-09-30,75787
2004-10-31,76284
2004-11-30,89212
2004-12-31,117691
2005-01-31,126471
2005-02-28,78354
2005-03-31,94861
2005-04-30,77870
2005-05-31,84944
2005-06-30,76808
2005-07-31,92383
2005-08-31,76849
2005-09-30,69202
2005-10-31,77123
2005-11-30,89387
2005-12-31,103216
2006-01-31,118893
2006-02-28,75919
2006-03-31,82345
2006-04-30,84903
2006-05-31,72594
2006-06-30,71696
2006-07-31,91635
2006-08-31,73761
2006-09-30,62990
2006-10-31,75122
2006-11-30,88555
2006-12-31,87862
2007-01-31,126247
2007-02-28,78992
2007-03-31,73819
2007-04-30,91246
2007-05-31,68616
2007-06-30,67390
2007-07-31,90373
2007-08-31,75804
2007-09-30,59033
2007-10-31,76776
2007-11-30,93024
2007-12-31,97039
2008-01-31,130714
2008-02-29,93336
2008-03-31,78713
2008-04-30,92372
2008-05-31,80740
2008-06-30,75988
2008-07-31,111774
2008-08-31,83790
2008-09-30,81843
2008-10-31,104144
2008-11-30,110363
2008-12-31,174675
2009-01-31,170370
2009-02-28,139049
2009-03-31,129343
2009-04-30,145678
2009-05-31,108801
2009-06-30,121242
2009-07-31,147117
2009-08-31,104685
2009-09-30,103750
2009-10-31,108359
2009-11-30,110138
2009-12-31,153460
2010-01-31,152153
2010-02-28,114273
2010-03-31,104542
2010-04-30,126605
2010-05-31,92154
2010-06-30,107904
2010-07-31,137795
2010-08-31,109273
2010-09-30,100342
2010-10-31,103680
2010-11-30,113289
2010-12-31,145086
2011-01-31,155008
2011-02-28,97811
2011-03-31,112584
2011-04-30,118626
2011-05-31,92561
2011-06-30,102186
2011-07-31,129727
2011-08-31,113740
2011-09-30,97112
2011-10-31,99724
2011-11-30,111136
2011-12-31,123581
2012-01-31,156993
2012-02-29,104426
2012-03-31,84924
2012-04-30,120725
2012-05-31,87056
2012-06-30,89550
2012-07-31,140645
2012-08-31,98156
2012-09-30,87216
2012-10-31,94462
2012-11-30,161386
2012-12-31,137681
2013-01-31,131826
2013-02-28,93969
2013-03-31,96292
2013-04-30,98176
2013-05-31,83265
2013-06-30,100194
2013-07-31,106991
2013-08-31,84240
2013-09-30,81596
2013-10-31,86651
2013-11-30,87237
2013-12-31,146790
2014-01-31,111877
2014-02-28,100564
2014-03-31,80580
2014-04-30,97545
2014-05-31,73431
2014-06-30,81350
2014-07-31,98892
2014-08-31,80406
2014-09-30,75368
2014-10-31,78286
2014-11-30,95557
2014-12-31,120491
2015-01-31,107224
2015-02-28,98318
2015-03-31,77786
2015-04-30,92806
2015-05-31,67582
2015-06-30,73448
2015-07-31,92620
2015-08-31,75705
2015-09-30,65919
2015-10-31,68286
2015-11-30,90177
2015-12-31,102965
2016-01-31,110218
2016-02-29,90830
2016-03-31,71973
2016-04-30,69306
2016-05-31,87931
2016-06-30,68622
2016-07-31,85863
2016-08-31,70087
2016-09-30,56154
2016-10-31,70383
2016-11-30,84295
2016-12-31,84427
2017-01-31,114307
2017-02-28,80451
2017-03-31,70979
2017-04-30,83971
2017-05-31,66971
2017-06-30,65032
2017-07-31,87399
2017-08-31,68873
2017-09-30,56727
2017-10-31,64334
2017-11-30,79057
2017-12-31,98767
2018-01-31,98931
2018-02-28,75880
2018-03-31,58281
2018-04-30,80741
2018-05-31,54965
2018-06-30,55338
2018-07-31,82935
2018-08-31,60250
2018-09-30,49263
2018-10-31,56725
2018-11-30,74356
2018-12-31,95861
2019-01-31,81886
2019-02-28,74164
2019-03-31,55194
2019-04-30,74003
2019-05-31,54980
2019-06-30,61610
2019-07-31,71730
2019-08-31,57834
2019-09-30,50180
2019-10-31,57275
2019-11-30,65150
2019-12-31,113097
2020-01-31,78414
2020-02-29,74202
2020-03-31,663655
2020-04-30,1168446
2020-05-31,565042
2020-06-30,310357
2020-07-31,294844
2020-08-31,197701
2020-09-30,213893
2020-10-31,191880
