date,value
1971-01-08,-1.81792
1971-01-15,-1.82143
1971-01-22,-1.82219
1971-01-29,-1.82119
1971-02-05,-1.81889
1971-02-12,-1.81622
1971-02-19,-1.81415
1971-02-26,-1.81374
1971-03-05,-1.81592
1971-03-12,-1.82154
1971-03-19,-1.83123
1971-03-26,-1.84533
1971-04-02,-1.86381
1971-04-09,-1.88654
1971-04-16,-1.91289
1971-04-23,-1.94167
1971-04-30,-1.97213
1971-05-07,-2.00291
1971-05-14,-2.03283
1971-05-21,-2.06070
1971-05-28,-2.08536
1971-06-04,-2.10576
1971-06-11,-2.12098
1971-06-18,-2.12998
1971-06-25,-2.13184
1971-07-02,-2.12586
1971-07-09,-2.11138
1971-07-16,-2.08807
1971-07-23,-2.05590
1971-07-30,-2.01521
1971-08-06,-1.96664
1971-08-13,-1.91134
1971-08-20,-1.85073
1971-08-27,-1.78671
1971-09-03,-1.72101
1971-09-10,-1.65556
1971-09-17,-1.59214
1971-09-24,-1.53233
1971-10-01,-1.47750
1971-10-08,-1.42882
1971-10-15,-1.38737
1971-10-22,-1.35376
1971-10-29,-1.32874
1971-11-05,-1.31268
1971-11-12,-1.30588
1971-11-19,-1.30824
1971-11-26,-1.31959
1971-12-03,-1.33934
1971-12-10,-1.36678
1971-12-17,-1.40097
1971-12-24,-1.44078
1971-12-31,-1.48493
1972-01-07,-1.53221
1972-01-14,-1.58142
1972-01-21,-1.63102
1972-01-28,-1.68036
1972-02-04,-1.72845
1972-02-11,-1.77456
1972-02-18,-1.81816
1972-02-25,-1.85885
1972-03-03,-1.89630
1972-03-10,-1.93026
1972-03-17,-1.96051
1972-03-24,-1.98686
1972-03-31,-2.00920
1972-04-07,-2.02751
1972-04-14,-2.04186
1972-04-21,-2.05248
1972-04-28,-2.05989
1972-05-05,-2.06473
1972-05-12,-2.06759
1972-05-19,-2.06948
1972-05-26,-2.07124
1972-06-02,-2.07377
1972-06-09,-2.07781
1972-06-16,-2.08402
1972-06-23,-2.09292
1972-06-30,-2.10487
1972-07-07,-2.12008
1972-07-14,-2.13853
1972-07-21,-2.16022
1972-07-28,-2.18467
1972-08-04,-2.21144
1972-08-11,-2.23970
1972-08-18,-2.26880
1972-08-25,-2.29779
1972-09-01,-2.32577
1972-09-08,-2.35186
1972-09-15,-2.37530
1972-09-22,-2.39557
1972-09-29,-2.41235
1972-10-06,-2.42565
1972-10-13,-2.43557
1972-10-20,-2.44269
1972-10-27,-2.44735
1972-11-03,-2.45010
1972-11-10,-2.45158
1972-11-17,-2.45227
1972-11-24,-2.45266
1972-12-01,-2.45319
1972-12-08,-2.45425
1972-12-15,-2.45618
1972-12-22,-2.45931
1972-12-29,-2.46390
1973-01-05,-2.47023
1973-01-12,-2.47817
1973-01-19,-2.48796
1973-01-26,-2.49894
1973-02-02,-2.51052
1973-02-09,-2.52216
1973-02-16,-2.53279
1973-02-23,-2.54168
1973-03-02,-2.54805
1973-03-09,-2.55139
1973-03-16,-2.55135
1973-03-23,-2.54785
1973-03-30,-2.54090
1973-04-06,-2.53073
1973-04-13,-2.51719
1973-04-20,-2.50061
1973-04-27,-2.48022
1973-05-04,-2.45531
1973-05-11,-2.42526
1973-05-18,-2.38863
1973-05-25,-2.34449
1973-06-01,-2.29194
1973-06-08,-2.23040
1973-06-15,-2.15965
1973-06-22,-2.07993
1973-06-29,-1.99177
1973-07-06,-1.89592
1973-07-13,-1.79312
1973-07-20,-1.68475
1973-07-27,-1.57107
1973-08-03,-1.45273
1973-08-10,-1.33089
1973-08-17,-1.20570
1973-08-24,-1.07846
1973-08-31,-0.95052
1973-09-07,-0.82369
1973-09-14,-0.70022
1973-09-21,-0.58255
1973-09-28,-0.47321
1973-10-05,-0.37460
1973-10-12,-0.28881
1973-10-19,-0.21723
1973-10-26,-0.16035
1973-11-02,-0.11807
1973-11-09,-0.08968
