date,value
1971-01-08,0.51168
1971-01-15,0.55738
1971-01-22,0.61373
1971-01-29,0.67556
1971-02-05,0.73887
1971-02-12,0.79754
1971-02-19,0.84746
1971-02-26,0.88704
1971-03-05,0.91794
1971-03-12,0.94326
1971-03-19,0.96837
1971-03-26,0.99990
1971-04-02,1.04248
1971-04-09,1.09922
1971-04-16,1.16823
1971-04-23,1.24482
1971-04-30,1.31923
1971-05-07,1.38076
1971-05-14,1.41523
1971-05-21,1.41350
1971-05-28,1.37191
1971-06-04,1.29287
1971-06-11,1.18283
1971-06-18,1.06080
1971-06-25,0.94749
1971-07-02,0.86453
1971-07-09,0.83225
1971-07-16,0.86437
1971-07-23,0.96594
1971-07-30,1.13069
1971-08-06,1.34250
1971-08-13,1.57640
1971-08-20,1.80540
1971-08-27,1.99864
1971-09-03,2.13772
1971-09-10,2.20643
1971-09-17,2.20514
1971-09-24,2.13990
1971-10-01,2.02629
1971-10-08,1.88233
1971-10-15,1.73087
1971-10-22,1.59111
1971-10-29,1.47731
1971-11-05,1.39799
1971-11-12,1.35303
1971-11-19,1.33814
1971-11-26,1.34153
1971-12-03,1.35201
1971-12-10,1.35743
1971-12-17,1.34726
1971-12-24,1.31433
1971-12-31,1.25888
1972-01-07,1.17416
1972-01-14,1.07395
1972-01-21,0.96288
1972-01-28,0.84963
1972-02-04,0.74330
1972-02-11,0.64912
1972-02-18,0.56974
1972-02-25,0.50596
1972-03-03,0.45671
1972-03-10,0.41926
1972-03-17,0.38914
1972-03-24,0.36146
1972-03-31,0.33174
1972-04-07,0.29556
1972-04-14,0.25356
1972-04-21,0.20537
1972-04-28,0.15443
1972-05-05,0.10464
1972-05-12,0.06130
1972-05-19,0.02906
1972-05-26,0.01298
1972-06-02,0.01540
1972-06-09,0.03697
1972-06-16,0.07482
1972-06-23,0.12413
1972-06-30,0.17749
1972-07-07,0.22614
1972-07-14,0.26323
1972-07-21,0.28244
1972-07-28,0.27906
1972-08-04,0.25262
1972-08-11,0.20528
1972-08-18,0.14207
1972-08-25,0.06946
1972-09-01,-0.00467
1972-09-08,-0.07227
1972-09-15,-0.12815
1972-09-22,-0.16915
1972-09-29,-0.19472
1972-10-06,-0.20751
1972-10-13,-0.21222
1972-10-20,-0.21299
1972-10-27,-0.21489
1972-11-03,-0.22150
1972-11-10,-0.23454
1972-11-17,-0.25426
1972-11-24,-0.27902
1972-12-01,-0.30427
1972-12-08,-0.32485
1972-12-15,-0.33500
1972-12-22,-0.32716
1972-12-29,-0.29506
1973-01-05,-0.23448
1973-01-12,-0.14291
1973-01-19,-0.02176
1973-01-26,0.12452
1973-02-02,0.28861
1973-02-09,0.45988
1973-02-16,0.62617
1973-02-23,0.77729
1973-03-02,0.90381
1973-03-09,1.00048
1973-03-16,1.06509
1973-03-23,1.10184
1973-03-30,1.11559
1973-04-06,1.11127
1973-04-13,1.09657
1973-04-20,1.07657
1973-04-27,1.05551
1973-05-04,1.03498
1973-05-11,1.01711
1973-05-18,1.00192
