date, value
8/22/1972,0.2673
8/23/1972,0.2703
8/24/1972,0.2706
8/25/1972,0.2722
8/28/1972,0.2704
8/29/1972,0.2705
8/30/1972,0.2718
8/31/1972,0.27
9/1/1972,0.2752
9/5/1972,0.2737
9/6/1972,0.2728
9/7/1972,0.2716
9/8/1972,0.266
9/11/1972,0.2693
9/12/1972,0.2685
9/13/1972,0.2672
9/14/1972,0.2691
9/15/1972,0.2674
9/18/1972,0.27
9/19/1972,0.2721
9/20/1972,0.2717
9/21/1972,0.276
9/22/1972,0.2705
9/25/1972,0.272
9/26/1972,0.273
9/27/1972,0.2715
9/28/1972,0.2721
9/29/1972,0.2737
10/2/1972,0.2735
10/3/1972,0.2702
10/4/1972,0.2684
10/5/1972,0.2683
10/6/1972,0.269
10/10/1972,0.2702
10/11/1972,0.2713
10/12/1972,0.2705
10/13/1972,0.2705
10/16/1972,0.272
10/17/1972,0.2703
10/18/1972,0.2731
10/19/1972,0.2775
10/20/1972,0.2732
10/23/1972,0.2766
10/24/1972,0.2824
10/25/1972,0.2838
10/26/1972,0.2863
10/27/1972,0.2872
10/30/1972,0.2931
10/31/1972,0.298
11/1/1972,0.2944
11/2/1972,0.2918
11/3/1972,0.2922
11/6/1972,0.2925
11/8/1972,0.3015
11/9/1972,0.3045
11/10/1972,0.3035
11/13/1972,0.3138
11/14/1972,0.315
11/15/1972,0.3251
11/16/1972,0.3181
11/17/1972,0.3198
11/20/1972,0.331
11/21/1972,0.3445
11/22/1972,0.335
11/24/1972,0.3425
11/27/1972,0.345
11/28/1972,0.3317
11/29/1972,0.3276
11/30/1972,0.3229
12/1/1972,0.3185
12/4/1972,0.3225
12/5/1972,0.327
12/6/1972,0.328
12/7/1972,0.3315
12/8/1972,0.336
12/11/1972,0.3541
12/12/1972,0.338
12/13/1972,0.3475
12/14/1972,0.3453
12/15/1972,0.3413
12/18/1972,0.3328
12/19/1972,0.3362
12/20/1972,0.34
12/21/1972,0.3452
12/22/1972,0.346
12/26/1972,0.348
12/27/1972,0.3474
12/29/1972,0.355
1/2/1973,0.361
1/3/1973,0.364
1/4/1973,0.364
1/5/1973,0.372
1/8/1973,0.3795
1/9/1973,0.3798
1/10/1973,0.38
1/11/1973,0.3744
1/12/1973,0.3732
1/15/1973,0.362
1/16/1973,0.3625
1/17/1973,0.3652
1/18/1973,0.3746
1/19/1973,0.3765
1/22/1973,0.3866
1/23/1973,0.3896
1/24/1973,0.387
1/26/1973,0.3921
1/29/1973,0.3855
1/30/1973,0.3822
1/31/1973,0.3802
2/1/1973,0.3793
2/2/1973,0.3795
2/5/1973,0.3785
2/6/1973,0.3724
2/7/1973,0.3723
2/8/1973,0.3804
2/9/1973,0.381
2/12/1973,0.3854
2/13/1973,0.3905
2/14/1973,0.3941
2/15/1973,0.3864
2/16/1973,0.387
2/20/1973,0.3865
2/21/1973,0.3855
2/22/1973,0.388
2/23/1973,0.388
2/26/1973,0.3909
2/27/1973,0.3953
2/28/1973,0.3927
3/1/1973,0.3915
3/2/1973,0.3882
3/5/1973,0.3909
3/6/1973,0.3982
3/7/1973,0.3982
3/8/1973,0.3992
3/9/1973,0.401
3/12/1973,0.4072
