date,real,nominal
1/1/1946,17.17,1.17
2/1/1946,17.26,1.17
3/1/1946,17.07,1.17
4/1/1946,18.43,1.27
5/1/1946,18.33,1.27
6/1/1946,18.14,1.27
7/1/1946,17.13,1.27
8/1/1946,20.09,1.52
9/1/1946,19.9,1.52
10/1/1946,19.52,1.52
11/1/1946,19.06,1.52
12/1/1946,20.12,1.62
1/1/1947,20.12,1.62
2/1/1947,20.12,1.62
3/1/1947,19.75,1.62
4/1/1947,22.8,1.87
5/1/1947,22.8,1.87
6/1/1947,22.7,1.87
7/1/1947,22.49,1.87
8/1/1947,22.2,1.87
9/1/1947,21.71,1.87
10/1/1947,21.71,1.87
11/1/1947,23.93,2.07
12/1/1947,23.62,2.07
1/1/1948,28.96,2.57
2/1/1948,29.21,2.57
3/1/1948,29.33,2.57
4/1/1948,28.84,2.57
5/1/1948,28.72,2.57
6/1/1948,28.48,2.57
7/1/1948,28.13,2.57
8/1/1948,28.01,2.57
9/1/1948,28.01,2.57
10/1/1948,28.13,2.57
11/1/1948,28.36,2.57
12/1/1948,28.48,2.57
1/1/1949,28.6,2.57
2/1/1949,28.84,2.57
3/1/1949,28.84,2.57
4/1/1949,28.72,2.57
5/1/1949,28.84,2.57
6/1/1949,28.72,2.57
7/1/1949,28.96,2.57
8/1/1949,28.84,2.57
9/1/1949,28.72,2.57
10/1/1949,28.96,2.57
11/1/1949,28.84,2.57
12/1/1949,29.08,2.57
1/1/1950,29.21,2.57
2/1/1950,29.21,2.57
3/1/1950,29.08,2.57
4/1/1950,29.08,2.57
5/1/1950,28.96,2.57
6/1/1950,28.84,2.57
7/1/1950,28.48,2.57
8/1/1950,28.24,2.57
9/1/1950,28.13,2.57
10/1/1950,27.9,2.57
11/1/1950,27.79,2.57
12/1/1950,27.45,2.57
1/1/1951,27.02,2.57
2/1/1951,26.7,2.57
3/1/1951,26.6,2.57
4/1/1951,26.6,2.57
5/1/1951,26.5,2.57
6/1/1951,26.5,2.57
7/1/1951,26.5,2.57
