date, value,
2/1/1992,215096.73,114535
3/1/1992,224206.7,120025
4/1/1992,232136.55,124470
5/1/1992,234406.39,125822
6/1/1992,227979.9,122834
7/1/1992,227036.68,122590
8/1/1992,222399.12,120411
9/1/1992,222349.66,120711
10/1/1992,233764.32,127392
11/1/1992,224311.54,122374
12/1/1992,231230.72,126080
1/1/1993,221987.53,121637
2/1/1993,234385.43,128854
3/1/1993,229692.74,126762
4/1/1993,230202.77,127395
5/1/1993,228384.85,126529
6/1/1993,234642.02,130212
7/1/1993,230856.02,128111
8/1/1993,232492.27,129378
9/1/1993,228128.77,127233
10/1/1993,237838.05,133168
11/1/1993,232747.94,130391
12/1/1993,238413.53,133565
1/1/1994,246526.44,138498
2/1/1994,243288.13,137141
3/1/1994,241416.86,136548
4/1/1994,247693.04,140336
5/1/1994,251599.32,142630
6/1/1994,255020.75,145063
7/1/1994,254352.8,145013
8/1/1994,254859.35,145884
9/1/1994,253438.35,145487
10/1/1994,260361.33,149547
11/1/1994,260766.04,150038
12/1/1994,265025.88,152489
1/1/1995,260444.53,150459
2/1/1995,265401.6,153856
3/1/1995,262814.47,152888
4/1/1995,259349.91,151401
5/1/1995,261352.98,152838
6/1/1995,255987.01,150051
7/1/1995,254048.99,148915
8/1/1995,262741.14,154372
9/1/1995,272137.33,160175
10/1/1995,263215.79,155473
11/1/1995,264511.32,156146
12/1/1995,276757.91,163279
1/1/1996,262533.11,155806
2/1/1996,253298.64,150773
3/1/1996,275674.9,164976
4/1/1996,261121.95,156830
5/1/1996,273402.32,164502
6/1/1996,273398.94,164599
7/1/1996,271228.9,163588
8/1/1996,260190.74,157310
9/1/1996,272813.86,165442
10/1/1996,271697.3,165266
11/1/1996,280254.9,170783
12/1/1996,266386.81,162332
1/1/1997,264748.97,161827
2/1/1997,277630.45,170221
3/1/1997,272465.57,167568
4/1/1997,282663.7,174054
5/1/1997,273952.25,168586
6/1/1997,283745.84,174828
7/1/1997,289932.06,178860
8/1/1997,286874.64,177302
9/1/1997,287025.69,177835
10/1/1997,286259.61,177801
11/1/1997,308002.26,191187
12/1/1997,280291.01,173770
1/1/1998,280603.68,174288
2/1/1998,291300.89,181270
3/1/1998,283725.14,176886
4/1/1998,289644.92,180915
5/1/1998,288653.13,180634
6/1/1998,274813.64,172189
7/1/1998,271882.11,170459
8/1/1998,285199.57,179033
9/1/1998,288642.4,181422
10/1/1998,283322.35,178527
11/1/1998,289468.8,182400
12/1/1998,283337.31,178424
1/1/1999,295458.77,186527
2/1/1999,293533.77,185546
3/1/1999,291254.55,184689
4/1/1999,286567.04,182993
5/1/1999,291218.06,185963
6/1/1999,285935.94,182590
7/1/1999,295158.56,189083
8/1/1999,294917.6,189414
9/1/1999,292810.5,188910
10/1/1999,300964.21,194547
11/1/1999,288478.96,186597
12/1/1999,303547.82,196344
1/1/2000,310497.12,201360
2/1/2000,281935.56,183911
3/1/2000,292037.6,192130
4/1/2000,296271.84,195044
5/1/2000,286115.3,188606
6/1/2000,331595.21,219745
7/1/2000,285033.09,189265
8/1/2000,284227.38,188730
9/1/2000,299520.61,199947
10/1/2000,278492.37,186158
11/1/2000,283141.04,189392
12/1/2000,282233.86,188659
1/1/2001,263105.22,177056
2/1/2001,266808.48,180276
3/1/2001,269122.69,182209
4/1/2001,252791.35,171850
5/1/2001,260224.54,177749
6/1/2001,257823.7,176350
7/1/2001,249409.11,170129
8/1/2001,249929.54,170484
9/1/2001,239619.58,164123
10/1/2001,251119.92,171530
11/1/2001,240310.74,163811
12/1/2001,243492.79,165304
1/1/2002,238972.51,162677
2/1/2002,251575.22,171841
3/1/2002,245861.54,168977
4/1/2002,248056.32,171428
5/1/2002,248983.84,172069
6/1/2002,240811.19,166421
7/1/2002,251029.74,173723
8/1/2002,254488.32,176728
9/1/2002,240114.36,166978
10/1/2002,242146.21,168743
11/1/2002,243648.65,169790
12/1/2002,235614.67,163735
1/1/2003,243004.67,169696
2/1/2003,246826.28,173699
3/1/2003,245086.26,173451
4/1/2003,240290.95,169697
5/1/2003,242305,170878
6/1/2003,246645.85,174062
7/1/2003,243546.97,172118
8/1/2003,244402.35,173335
9/1/2003,250189.76,178071
10/1/2003,258063.5,183414
11/1/2003,256387.35,181835
12/1/2003,256705.84,181803
1/1/2004,249755.61,177762
2/1/2004,253454.6,181298
3/1/2004,266121.29,191592
4/1/2004,254705.82,184036
5/1/2004,252917.06,183806
6/1/2004,254864.09,185761
7/1/2004,254658.53,185341
8/1/2004,253096.07,184338
9/1/2004,258266.92,188516
10/1/2004,252531.19,185276
11/1/2004,261809.09,192224
12/1/2004,264734.59,193661
1/1/2005,265712.27,194661
2/1/2005,266529.73,196411
3/1/2005,251280.7,186687
4/1/2005,260632.11,194938
5/1/2005,276184.82,206262
6/1/2005,280521.07,209657
7/1/2005,258847.56,194330
8/1/2005,271530.93,204929
9/1/2005,266835.72,203847
10/1/2005,274740.61,210368
11/1/2005,291291.43,221178
12/1/2005,292073.43,220933
1/1/2006,274450.72,209185
2/1/2006,287626.22,219562
3/1/2006,295936.79,227294
4/1/2006,276763.29,214379
5/1/2006,276713.19,215341
6/1/2006,282837.35,220450
7/1/2006,268087.35,209607
8/1/2006,269449.09,211167
9/1/2006,302657.13,235898
10/1/2006,279984.18,217042
11/1/2006,289795.93,224474
12/1/2006,297160.53,230357
1/1/2007,282571.49,219729
2/1/2007,285625,223319
3/1/2007,290796.77,229516
4/1/2007,291157.6,231261
5/1/2007,284581.23,227483
6/1/2007,285974.79,228963
7/1/2007,293520,235004
8/1/2007,293742.99,234619
9/1/2007,284214.53,227736
10/1/2007,285726.26,229499
11/1/2007,285646.22,230732
12/1/2007,301863.77,243635
1/1/2008,294298.61,238685
2/1/2008,288453.67,234706
3/1/2008,282764.12,231964
4/1/2008,277620.54,229249
5/1/2008,275037.41,229007
6/1/2008,271993.26,228758
7/1/2008,262993.91,222311
8/1/2008,256832.53,216189
9/1/2008,252754.05,212577
10/1/2008,231401.83,192514
11/1/2008,224645.4,183384
12/1/2008,215387.24,173980
1/1/2009,190255.3,154428
2/1/2009,180112.89,146911
3/1/2009,176384.73,144223
4/1/2009,176020.38,144279
5/1/2009,182481.85,149944
6/1/2009,175632.19,145632
7/1/2009,187889.9,155538
8/1/2009,189690.53,157289
9/1/2009,190798.5,158339
10/1/2009,196191.8,162950
11/1/2009,194271.27,161489
12/1/2009,193355.51,160461
1/1/2010,219443.12,182717
2/1/2010,213211.13,177528
3/1/2010,214452.37,179308
4/1/2010,220854.18,184970
5/1/2010,222068.6,186143
6/1/2010,223589.63,187261
7/1/2010,227417.6,190467
8/1/2010,227378.77,190754
9/1/2010,239368.37,200981
