Datum,Zuletzt,Eröffn.,Hoch,Tief,Vol.,+/- %
09.04.2020,"10.688,6","10.417,9","10.697,5","10.297,8",-,"2,60%"
08.04.2020,"10.417,9","10.212,4","10.426,9","10.142,5","71,23K","2,01%"
07.04.2020,"10.212,9","10.246,8","10.571,8","10.081,2","117,05K","-0,33%"
06.04.2020,"10.246,8","9.633,1","10.249,2","9.633,1","97,49K","7,79%"
03.04.2020,"9.506,0","9.555,5","9.605,0","9.416,5","88,35K","-0,44%"
02.04.2020,"9.548,3","9.394,9","9.629,0","9.311,5","106,96K","1,64%"
01.04.2020,"9.393,9","9.671,1","9.736,8","9.300,8","111,57K","-2,87%"
31.03.2020,"9.671,1","9.859,5","10.067,5","9.664,5","106,70K","-0,92%"
30.03.2020,"9.761,0","9.450,5","9.858,0","9.422,0","101,63K","1,89%"
27.03.2020,"9.580,0","10.045,5","10.045,5","9.504,5","91,01K","-4,93%"
26.03.2020,"10.077,0","9.785,9","10.087,1","9.493,8","112,36K","3,01%"
25.03.2020,"9.782,9","9.580,2","10.114,8","9.414,5","157,85K","2,10%"
24.03.2020,"9.581,7","8.935,0","9.799,4","8.866,8","143,42K","10,34%"
23.03.2020,"8.684,0","8.281,0","9.087,5","8.133,0","128,87K","-3,58%"
20.03.2020,"9.006,7","8.500,0","9.188,5","8.500,0","5,39K","5,25%"
19.03.2020,"8.557,3","8.643,5","8.803,5","7.966,5","106,25K","0,96%"
18.03.2020,"8.476,0","8.662,5","8.892,5","8.185,0","148,69K","-4,81%"
17.03.2020,"8.904,5","8.740,0","9.165,0","8.416,0","157,80K","2,13%"
16.03.2020,"8.719,0","9.117,5","9.117,5","8.226,5","184,55K","-4,97%"
13.03.2020,"9.175,0","9.051,5","9.990,5","8.809,5","188,97K","-0,84%"
12.03.2020,"9.253,0","10.282,5","10.282,5","8.967,0","209,79K","-11,09%"
11.03.2020,"10.407,0","10.702,5","10.757,5","10.205,5","149,49K","-0,95%"
10.03.2020,"10.506,5","10.530,0","11.031,0","10.414,5","174,85K","-1,68%"
09.03.2020,"10.685,5","11.046,0","11.092,0","10.350,0","172,27K","-7,44%"
06.03.2020,"11.545,0","11.836,0","11.862,0","11.417,5","212,68K","-3,44%"
05.03.2020,"11.956,0","12.159,0","12.219,5","11.746,0","180,68K","-1,07%"
04.03.2020,"12.085,0","11.841,5","12.275,5","11.841,5","149,25K","1,35%"
03.03.2020,"11.924,0","12.049,5","12.269,0","11.731,0","215,19K","0,51%"
02.03.2020,"11.864,0","11.744,5","12.213,0","11.617,0","208,93K","0,38%"
28.02.2020,"11.819,0","12.090,0","12.156,0","11.718,0","244,66K","-4,55%"
27.02.2020,"12.382,0","12.541,0","12.597,0","12.136,5","249,00K","-3,02%"
26.02.2020,"12.767,5","12.698,0","12.848,5","12.362,5","241,25K","-0,24%"
25.02.2020,"12.798,5","13.037,5","13.158,5","12.606,0","229,90K","-1,80%"
24.02.2020,"13.033,0","13.421,0","13.421,0","12.961,0","218,20K","-3,90%"
21.02.2020,"13.561,5","13.690,5","13.706,0","13.492,5","148,85K","-1,07%"
20.02.2020,"13.707,5","13.801,5","13.824,0","13.638,5","116,75K","-0,53%"
19.02.2020,"13.780,5","13.726,0","13.784,5","13.706,0","84,94K","0,88%"
18.02.2020,"13.660,0","13.737,0","13.750,5","13.651,0","111,38K","-0,87%"
17.02.2020,"13.780,5","13.768,0","13.804,5","13.746,5","48,74K","0,32%"
14.02.2020,"13.736,5","13.728,0","13.788,5","13.705,0","78,83K","0,08%"
13.02.2020,"13.725,0","13.743,0","13.760,5","13.572,0","133,37K","-0,10%"
12.02.2020,"13.738,5","13.638,5","13.779,0","13.605,0","83,36K","0,71%"
11.02.2020,"13.642,0","13.530,5","13.664,5","13.525,5","94,80K","1,19%"
10.02.2020,"13.482,0","13.428,5","13.522,5","13.421,0","76,23K","-0,23%"
07.02.2020,"13.513,5","13.590,0","13.594,0","13.453,5","91,07K","-0,38%"
06.02.2020,"13.565,0","13.502,0","13.604,0","13.488,5","88,29K","0,65%"
05.02.2020,"13.477,0","13.274,0","13.515,5","13.219,0","125,92K","1,53%"
04.02.2020,"13.274,0","13.043,0","13.292,0","13.013,5","98,35K","1,79%"
03.02.2020,"13.041,0","12.958,0","13.078,5","12.958,0","109,05K","0,36%"
31.01.2020,"12.994,0","13.235,5","13.275,0","12.880,5","151,62K","-1,18%"
30.01.2020,"13.149,0","13.321,0","13.321,5","13.115,0","146,08K","-1,50%"
29.01.2020,"13.349,5","13.309,5","13.373,5","13.278,5","86,50K","0,29%"
28.01.2020,"13.311,5","13.204,0","13.334,0","13.157,5","127,05K","0,76%"
27.01.2020,"13.211,0","13.410,5","13.434,5","13.187,0","145,47K","-2,61%"
24.01.2020,"13.564,5","13.488,0","13.603,0","13.473,0","111,12K","1,36%"
23.01.2020,"13.382,5","13.462,0","13.495,5","13.376,5","106,29K","-0,89%"
22.01.2020,"13.502,5","13.536,0","13.639,0","13.476,0","98,53K","-0,32%"
21.01.2020,"13.546,5","13.565,5","13.570,5","13.433,5","102,14K","0,02%"
20.01.2020,"13.544,0","13.539,0","13.576,0","13.483,0","50,29K","0,26%"
17.01.2020,"13.509,0","13.479,0","13.557,5","13.466,0","90,86K","0,64%"
16.01.2020,"13.423,0","13.428,0","13.492,5","13.377,0","95,70K","0,05%"
15.01.2020,"13.416,0","13.442,0","13.458,0","13.382,0","83,64K","-0,23%"
14.01.2020,"13.446,5","13.493,5","13.504,0","13.357,0","110,87K","0,09%"
13.01.2020,"13.435,0","13.473,5","13.527,0","13.398,5","84,19K","-0,42%"
10.01.2020,"13.491,0","13.514,5","13.547,0","13.427,0","94,70K","0,05%"
09.01.2020,"13.484,0","13.391,0","13.522,0","13.384,0","101,49K","1,27%"
08.01.2020,"13.315,0","13.002,0","13.399,5","12.964,5","141,31K","0,69%"
07.01.2020,"13.224,0","13.133,5","13.278,5","13.132,5","120,42K","0,84%"
06.01.2020,"13.114,0","13.114,0","13.158,5","12.939,0","129,08K","-0,60%"
03.01.2020,"13.193,5","13.445,0","13.449,5","13.111,5","138,93K","-1,42%"
02.01.2020,"13.384,0","13.174,0","13.443,0","13.171,5","118,26K","1,04%"
30.12.2019,"13.246,5","13.298,0","13.310,5","13.100,5","84,60K","-0,56%"
27.12.2019,"13.321,0","13.347,0","13.397,0","13.279,0","70,60K","-0,18%"
26.12.2019,"13.345,5","13.339,4","13.347,6","13.338,3",-,"0,35%"
23.12.2019,"13.299,0","13.314,0","13.335,5","13.282,0","56,09K","0,05%"
20.12.2019,"13.292,6","13.228,5","13.320,5","13.187,5","6,93K","0,68%"
19.12.2019,"13.202,5","13.215,0","13.251,0","13.138,0","89,56K","-0,20%"
18.12.2019,"13.229,0","13.275,5","13.287,0","13.205,5","111,16K","-0,47%"
17.12.2019,"13.292,0","13.388,0","13.411,0","13.268,5","136,77K","-0,87%"
16.12.2019,"13.409,0","13.359,0","13.429,5","13.321,5","98,82K","1,03%"
13.12.2019,"13.272,0","13.329,5","13.458,5","13.253,0","170,82K","0,28%"
12.12.2019,"13.235,5","13.149,5","13.292,5","13.103,0","134,15K","0,62%"
11.12.2019,"13.153,5","13.066,0","13.172,0","13.040,0","95,57K","0,68%"
10.12.2019,"13.064,5","13.075,0","13.095,0","12.882,0","134,68K","-0,29%"
09.12.2019,"13.103,0","13.166,5","13.179,5","13.073,0","64,70K","-0,50%"
06.12.2019,"13.168,5","13.088,5","13.179,5","13.045,0","84,51K","0,67%"
05.12.2019,"13.080,5","13.143,0","13.190,5","13.044,0","98,63K","-0,41%"
04.12.2019,"13.135,0","13.042,0","13.173,0","12.992,5","112,68K","1,12%"
03.12.2019,"12.989,5","12.966,0","13.086,0","12.924,0","151,54K","0,09%"
02.12.2019,"12.977,5","13.258,5","13.338,5","12.948,0","154,56K","-2,03%"
29.11.2019,"13.246,5","13.253,0","13.291,5","13.160,5","83,99K","0,06%"
28.11.2019,"13.238,5","13.268,5","13.271,0","13.209,5","43,63K","-0,30%"
27.11.2019,"13.279,0","13.265,5","13.315,5","13.214,0","79,27K","0,29%"
26.11.2019,"13.241,0","13.263,0","13.315,0","13.188,5","71,44K","-0,04%"
25.11.2019,"13.246,0","13.214,5","13.269,5","13.206,0","66,58K","0,65%"
22.11.2019,"13.161,0","13.169,5","13.245,0","13.116,0","92,76K","0,02%"
21.11.2019,"13.158,5","13.110,0","13.181,0","13.038,5","108,69K","-0,08%"
20.11.2019,"13.168,5","13.198,5","13.203,5","13.066,0","115,28K","-0,37%"
19.11.2019,"13.217,5","13.199,5","13.374,0","13.171,5","110,78K","0,22%"
18.11.2019,"13.189,0","13.216,5","13.284,0","13.132,0","91,20K","-0,32%"
15.11.2019,"13.231,0","13.208,5","13.278,5","13.168,5","87,37K","0,36%"
14.11.2019,"13.184,0","13.241,5","13.273,5","13.153,0","89,05K","-0,31%"
13.11.2019,"13.225,0","13.248,5","13.267,5","13.131,5","96,56K","-0,49%"
12.11.2019,"13.290,5","13.193,0","13.306,5","13.183,0","84,52K","0,66%"
11.11.2019,"13.203,0","13.241,0","13.241,0","13.133,5","74,59K","-0,12%"
08.11.2019,"13.219,0","13.285,0","13.286,0","13.190,5","77,96K","-0,40%"
07.11.2019,"13.272,5","13.172,5","13.298,0","13.157,5","100,91K","0,81%"
06.11.2019,"13.166,5","13.139,0","13.208,0","13.103,5","96,22K","0,21%"
05.11.2019,"13.139,5","13.139,0","13.168,0","13.107,0","79,25K","0,16%"
04.11.2019,"13.119,0","12.985,0","13.166,5","12.970,5","96,04K","1,33%"
01.11.2019,"12.946,5","12.902,0","12.986,5","12.888,5","75,90K","0,41%"
31.10.2019,"12.893,5","12.944,0","12.947,5","12.786,5","109,39K","-0,09%"
30.10.2019,"12.904,5","12.931,0","12.945,0","12.821,0","86,18K","-0,23%"
29.10.2019,"12.934,5","12.969,0","12.969,0","12.889,0","74,84K","-0,12%"
28.10.2019,"12.949,5","12.914,0","12.979,0","12.879,5","79,49K","0,49%"
25.10.2019,"12.886,0","12.859,5","12.892,5","12.823,5","68,09K","0,14%"
24.10.2019,"12.868,5","12.820,0","12.908,5","12.797,5","95,59K","0,54%"
23.10.2019,"12.799,0","12.665,0","12.813,0","12.640,5","89,17K","0,36%"
22.10.2019,"12.753,0","12.755,5","12.788,5","12.684,5","82,03K","0,03%"
21.10.2019,"12.749,5","12.663,5","12.779,0","12.637,0","85,80K","0,81%"
18.10.2019,"12.646,5","12.661,5","12.692,5","12.590,0","102,13K","-0,26%"
17.10.2019,"12.679,5","12.658,0","12.808,5","12.613,5","120,93K","-0,01%"
16.10.2019,"12.681,0","12.627,0","12.692,5","12.588,5","102,82K","0,37%"
15.10.2019,"12.634,0","12.479,0","12.675,0","12.472,5","111,34K","1,32%"
14.10.2019,"12.469,5","12.470,5","12.498,5","12.375,5","81,03K","-0,13%"
11.10.2019,"12.486,0","12.152,0","12.554,0","12.152,0","139,42K","2,56%"
10.10.2019,"12.174,0","12.044,0","12.190,0","12.000,0","107,68K","0,82%"
09.10.2019,"12.075,5","11.962,5","12.168,0","11.940,0","100,32K","0,84%"
08.10.2019,"11.974,5","12.073,0","12.141,0","11.904,0","121,09K","-0,84%"
07.10.2019,"12.075,5","12.019,5","12.129,0","11.954,0","99,02K","0,77%"
04.10.2019,"11.983,5","11.973,0","12.056,0","11.864,5","110,13K","0,48%"
03.10.2019,"11.926,0","11.920,5","11.969,5","11.807,5","107,59K","-0,15%"
02.10.2019,"11.943,5","12.249,0","12.249,5","11.891,0","152,15K","-2,66%"
01.10.2019,"12.270,0","12.414,5","12.486,0","12.214,5","122,24K","-1,14%"
30.09.2019,"12.411,0","12.351,5","12.431,5","12.331,5","87,95K","0,42%"
27.09.2019,"12.358,5","12.316,0","12.391,5","12.267,5","99,86K","0,72%"
26.09.2019,"12.270,5","12.243,0","12.329,5","12.205,5","100,89K","0,42%"
25.09.2019,"12.219,0","12.257,0","12.283,0","12.127,0","116,52K","-0,66%"
24.09.2019,"12.300,5","12.385,0","12.396,0","12.215,5","92,79K","-0,26%"
23.09.2019,"12.333,0","12.429,5","12.440,0","12.248,5","105,92K","-1,13%"
20.09.2019,"12.474,2","12.434,5","12.491,0","12.419,0","5,11K","0,15%"
19.09.2019,"12.455,5","12.415,0","12.474,5","12.348,0","93,71K","0,43%"
18.09.2019,"12.402,0","12.380,5","12.426,5","12.351,5","118,42K","0,17%"
17.09.2019,"12.380,5","12.393,5","12.410,0","12.303,0","137,90K","-0,16%"
16.09.2019,"12.400,5","12.408,0","12.421,5","12.324,5","107,78K","-0,68%"
13.09.2019,"12.485,0","12.424,0","12.496,0","12.403,0","92,42K","0,56%"
12.09.2019,"12.415,5","12.431,0","12.473,5","12.303,5","136,35K","0,54%"
11.09.2019,"12.348,5","12.266,0","12.395,0","12.266,0","94,66K","0,64%"
10.09.2019,"12.270,0","12.233,0","12.311,5","12.178,0","97,33K","0,41%"
09.09.2019,"12.220,0","12.184,5","12.246,5","12.183,5","67,68K","0,31%"
06.09.2019,"12.182,0","12.127,0","12.203,5","12.109,5","78,05K","0,46%"
05.09.2019,"12.126,5","12.053,5","12.163,5","12.048,0","92,33K","0,89%"
04.09.2019,"12.020,0","11.911,5","12.077,0","11.902,5","92,81K","1,03%"
03.09.2019,"11.897,0","11.935,5","11.987,0","11.862,0","109,96K","-0,45%"
02.09.2019,"11.951,0","11.904,5","11.992,0","11.896,0","63,61K","0,32%"
30.08.2019,"11.912,5","11.863,5","11.985,0","11.837,5","104,15K","0,65%"
29.08.2019,"11.835,5","11.677,0","11.869,0","11.626,0","115,44K","1,15%"
28.08.2019,"11.701,5","11.719,5","11.732,0","11.565,5","110,06K","0,00%"
27.08.2019,"11.701,5","11.653,0","11.775,5","11.608,5","108,59K","0,39%"
26.08.2019,"11.656,5","11.482,0","11.694,0","11.474,0","103,99K","0,19%"
23.08.2019,"11.634,0","11.756,5","11.819,5","11.526,0","138,92K","-0,79%"
22.08.2019,"11.726,5","11.803,5","11.847,5","11.704,5","103,56K","-0,50%"
21.08.2019,"11.786,0","11.609,0","11.819,0","11.609,0","89,19K","1,23%"
20.08.2019,"11.643,0","11.675,0","11.760,0","11.611,5","96,58K","-0,60%"
19.08.2019,"11.713,0","11.600,0","11.754,5","11.564,0","96,07K","1,43%"
16.08.2019,"11.547,5","11.427,0","11.575,5","11.416,0","110,44K","1,21%"
15.08.2019,"11.410,0","11.453,0","11.539,5","11.257,0","166,77K","-0,56%"
14.08.2019,"11.474,0","11.787,0","11.787,5","11.426,5","143,97K","-2,43%"
13.08.2019,"11.760,0","11.640,5","11.833,5","11.529,0","145,91K","0,68%"
12.08.2019,"11.680,5","11.715,5","11.830,0","11.607,5","95,31K","0,09%"
09.08.2019,"11.670,0","11.814,5","11.853,0","11.662,0","108,16K","-1,06%"
08.08.2019,"11.795,0","11.669,5","11.845,0","11.644,5","112,37K","1,42%"
07.08.2019,"11.630,0","11.608,5","11.736,5","11.547,5","149,84K","0,45%"
06.08.2019,"11.578,0","11.480,0","11.741,0","11.435,0","144,85K","-0,77%"
05.08.2019,"11.667,5","11.900,0","11.900,0","11.540,5","177,93K","-1,83%"
02.08.2019,"11.885,5","12.048,5","12.070,0","11.826,0","182,31K","-2,83%"
01.08.2019,"12.231,5","12.095,0","12.260,0","12.022,5","130,45K","0,39%"
31.07.2019,"12.184,5","12.128,5","12.216,0","12.036,0","114,18K","0,35%"
30.07.2019,"12.142,0","12.424,5","12.451,5","12.082,0","149,92K","-2,23%"
29.07.2019,"12.418,5","12.403,0","12.466,0","12.371,0","69,84K","0,05%"
26.07.2019,"12.412,5","12.358,0","12.438,5","12.343,0","77,78K","0,33%"
25.07.2019,"12.371,5","12.559,5","12.598,0","12.286,0","156,52K","-1,19%"
24.07.2019,"12.520,0","12.510,0","12.571,5","12.466,0","92,75K","0,19%"
23.07.2019,"12.496,0","12.297,5","12.542,5","12.297,5","134,92K","1,77%"
22.07.2019,"12.279,0","12.215,5","12.339,0","12.215,5","85,92K","0,25%"
19.07.2019,"12.248,5","12.252,0","12.329,5","12.199,5","118,18K","0,18%"
18.07.2019,"12.226,0","12.268,5","12.291,5","12.181,5","120,85K","-0,84%"
17.07.2019,"12.329,0","12.405,5","12.443,0","12.295,0","96,42K","-0,69%"
16.07.2019,"12.414,5","12.400,0","12.454,5","12.353,0","98,48K","0,23%"
15.07.2019,"12.386,0","12.317,0","12.425,0","12.281,5","105,86K","0,65%"
12.07.2019,"12.306,0","12.332,0","12.377,0","12.291,5","94,06K","-0,13%"
11.07.2019,"12.322,5","12.375,5","12.426,5","12.294,5","109,87K","-0,30%"
10.07.2019,"12.359,5","12.447,0","12.464,0","12.343,5","105,39K","-0,54%"
09.07.2019,"12.426,5","12.480,0","12.492,0","12.353,0","114,42K","-0,85%"
08.07.2019,"12.533,5","12.533,5","12.577,5","12.470,0","93,55K","-0,15%"
05.07.2019,"12.552,5","12.613,5","12.631,5","12.508,0","93,51K","-0,52%"
04.07.2019,"12.617,5","12.637,0","12.643,0","12.603,5","45,90K","0,13%"
03.07.2019,"12.600,5","12.530,5","12.650,0","12.506,0","86,62K","0,66%"
02.07.2019,"12.517,5","12.514,5","12.548,5","12.470,0","83,54K","0,07%"
01.07.2019,"12.509,0","12.476,5","12.607,0","12.455,0","109,67K","0,98%"
28.06.2019,"12.388,0","12.290,0","12.399,5","12.252,0","83,63K","1,02%"
27.06.2019,"12.263,0","12.233,0","12.319,0","12.191,0","97,04K","0,33%"
26.06.2019,"12.222,5","12.170,0","12.303,0","12.170,0","104,28K","0,00%"
25.06.2019,"12.222,5","12.256,5","12.274,0","12.155,5","103,07K","-0,18%"
24.06.2019,"12.244,5","12.280,0","12.328,0","12.226,5","86,92K","-0,97%"
21.06.2019,"12.364,0","12.364,5","12.427,5","12.292,0","6,96K","0,00%"
20.06.2019,"12.363,5","12.350,0","12.440,5","12.320,0","103,76K","0,40%"
19.06.2019,"12.314,5","12.353,0","12.357,5","12.280,0","128,40K","-0,27%"
18.06.2019,"12.347,5","12.079,0","12.360,5","11.984,5","221,68K","2,04%"
17.06.2019,"12.101,0","12.113,0","12.126,5","12.057,0","114,27K","0,02%"
14.06.2019,"12.098,5","12.142,5","12.185,0","12.047,5","114,05K","-0,54%"
13.06.2019,"12.164,0","12.106,5","12.203,5","12.061,5","99,58K","0,42%"
12.06.2019,"12.113,0","12.133,5","12.155,0","12.064,0","93,70K","-0,44%"
11.06.2019,"12.166,5","12.073,0","12.224,0","12.073,0","104,78K","0,42%"
10.06.2019,"12.116,0","12.100,5","12.129,0","12.050,0","48,42K","0,69%"
07.06.2019,"12.032,5","11.970,0","12.097,0","11.962,0","105,10K","0,76%"
06.06.2019,"11.941,5","11.982,5","12.077,0","11.895,0","127,01K","-0,33%"
05.06.2019,"11.980,5","11.994,0","12.057,5","11.924,5","118,49K","-0,01%"
04.06.2019,"11.982,0","11.756,0","11.995,5","11.709,0","144,63K","1,70%"
03.06.2019,"11.782,0","11.631,0","11.792,5","11.595,0","133,06K","0,48%"
31.05.2019,"11.726,0","11.851,5","11.851,5","11.658,0","141,14K","-1,47%"
30.05.2019,"11.901,0","11.860,0","11.922,5","11.849,0","91,45K","0,54%"
29.05.2019,"11.837,5","11.943,0","11.958,0","11.806,0","140,27K","-1,55%"
28.05.2019,"12.024,0","12.066,0","12.117,0","11.965,0","124,36K","-0,34%"
27.05.2019,"12.065,0","12.020,5","12.120,5","12.013,0","61,12K","0,52%"
24.05.2019,"12.002,5","11.964,0","12.078,5","11.960,5","100,16K","0,40%"
23.05.2019,"11.955,0","12.118,0","12.123,5","11.919,0","142,84K","-1,74%"
22.05.2019,"12.166,5","12.152,0","12.210,5","12.049,0","108,28K","0,18%"
21.05.2019,"12.145,0","12.056,0","12.177,0","12.046,5","103,60K","1,01%"
20.05.2019,"12.024,0","12.219,0","12.266,5","11.986,5","124,07K","-1,82%"
17.05.2019,"12.247,0","12.270,0","12.303,0","12.146,5","131,95K","-0,44%"
16.05.2019,"12.301,0","12.082,0","12.318,5","11.992,5","145,05K","1,69%"
15.05.2019,"12.096,5","11.982,5","12.134,5","11.861,0","136,05K","0,99%"
14.05.2019,"11.977,5","11.841,5","12.023,0","11.837,5","106,63K","0,80%"
13.05.2019,"11.882,0","12.099,0","12.107,0","11.841,5","141,22K","-1,66%"
10.05.2019,"12.083,0","12.120,0","12.214,0","11.969,5","138,55K","0,98%"
09.05.2019,"11.965,5","12.198,0","12.204,0","11.960,5","154,55K","-2,01%"
08.05.2019,"12.210,5","12.077,0","12.229,5","12.070,0","143,96K","1,01%"
07.05.2019,"12.089,0","12.281,5","12.332,0","12.038,5","151,92K","-1,78%"
06.05.2019,"12.308,0","12.336,0","12.350,5","12.144,0","125,77K","-0,80%"
03.05.2019,"12.407,5","12.326,0","12.470,0","12.325,0","88,89K","0,44%"
02.05.2019,"12.353,0","12.314,0","12.420,5","12.276,5","107,00K","0,12%"
01.05.2019,"12.338,8","12.326,1","12.343,0","12.319,7",-,"-0,10%"
30.04.2019,"12.351,0","12.331,0","12.395,0","12.295,0","95,85K","0,07%"
29.04.2019,"12.342,0","12.335,0","12.396,5","12.283,5","82,74K","-0,02%"
26.04.2019,"12.344,5","12.291,0","12.350,0","12.275,0","84,12K","0,28%"
25.04.2019,"12.310,0","12.329,5","12.358,0","12.261,0","95,95K","-0,11%"
24.04.2019,"12.323,5","12.260,0","12.379,0","12.216,5","104,18K","0,45%"
23.04.2019,"12.268,5","12.253,5","12.279,0","12.206,0","81,49K","-0,19%"
22.04.2019,"12.292,4","12.290,1","12.301,6","12.285,2",-,"0,43%"
18.04.2019,"12.239,5","12.214,0","12.292,0","12.124,0","118,38K","0,46%"
17.04.2019,"12.183,0","12.136,0","12.221,0","12.111,0","100,20K","0,37%"
16.04.2019,"12.137,5","12.050,0","12.143,0","12.045,5","93,39K","0,76%"
15.04.2019,"12.046,5","12.032,0","12.061,5","12.006,0","72,72K","0,18%"
12.04.2019,"12.025,0","11.948,5","12.059,0","11.916,0","98,85K","0,43%"
11.04.2019,"11.974,0","11.951,0","11.992,0","11.871,0","100,40K","0,30%"
10.04.2019,"11.938,5","11.874,0","11.972,0","11.866,5","83,24K","0,37%"
09.04.2019,"11.894,0","11.970,0","12.014,5","11.866,5","115,82K","-0,67%"
08.04.2019,"11.974,5","12.028,5","12.028,5","11.962,0","79,57K","-0,52%"
05.04.2019,"12.037,5","12.030,0","12.047,0","11.989,5","81,72K","0,19%"
04.04.2019,"12.014,5","11.970,5","12.053,0","11.931,0","100,45K","0,29%"
03.04.2019,"11.979,5","11.784,0","11.997,5","11.784,0","116,42K","1,72%"
02.04.2019,"11.777,0","11.719,5","11.829,5","11.675,0","98,29K","0,63%"
01.04.2019,"11.703,5","11.601,5","11.733,5","11.601,5","110,25K","1,47%"
29.03.2019,"11.534,5","11.497,0","11.570,0","11.456,5","109,95K","0,76%"
28.03.2019,"11.447,5","11.433,5","11.513,0","11.403,5","102,37K","0,13%"
27.03.2019,"11.432,5","11.441,0","11.521,5","11.382,5","128,60K","-0,08%"
26.03.2019,"11.441,5","11.387,5","11.464,5","11.316,5","109,24K","0,62%"
25.03.2019,"11.371,0","11.336,0","11.409,5","11.285,0","113,32K","-0,04%"
22.03.2019,"11.375,5","11.604,5","11.640,0","11.324,5","154,06K","-1,69%"
21.03.2019,"11.571,5","11.600,0","11.652,0","11.482,0","123,36K","-0,55%"
20.03.2019,"11.635,5","11.745,0","11.750,5","11.587,0","131,53K","-1,44%"
19.03.2019,"11.806,0","11.664,5","11.840,0","11.660,0","116,96K","1,14%"
18.03.2019,"11.673,0","11.690,0","11.728,5","11.649,0","87,94K","-0,32%"
15.03.2019,"11.709,9","11.590,5","11.720,0","11.573,5","8,23K","0,96%"
14.03.2019,"11.598,0","11.605,5","11.637,5","11.537,5","106,06K","0,18%"
13.03.2019,"11.577,0","11.519,0","11.611,5","11.472,5","120,06K","0,36%"
12.03.2019,"11.536,0","11.605,5","11.634,0","11.496,0","182,77K","-0,03%"
11.03.2019,"11.540,0","11.493,0","11.597,5","11.459,0","121,84K","0,65%"
08.03.2019,"11.465,5","11.479,5","11.498,5","11.404,5","133,28K","-0,39%"
07.03.2019,"11.510,5","11.554,5","11.614,0","11.448,5","150,10K","-0,68%"
06.03.2019,"11.589,5","11.600,0","11.653,5","11.560,5","98,99K","-0,25%"
05.03.2019,"11.618,5","11.546,0","11.634,0","11.543,5","101,91K","0,18%"
04.03.2019,"11.598,0","11.668,0","11.678,5","11.522,5","110,21K","-0,01%"
01.03.2019,"11.599,5","11.522,5","11.675,5","11.522,5","122,24K","0,69%"
28.02.2019,"11.520,0","11.496,5","11.538,0","11.397,0","102,09K","0,32%"
27.02.2019,"11.483,5","11.518,0","11.545,5","11.437,0","92,81K","-0,56%"
26.02.2019,"11.548,0","11.468,0","11.555,5","11.421,5","102,27K","0,30%"
25.02.2019,"11.513,0","11.479,0","11.543,0","11.464,0","88,86K","0,42%"
22.02.2019,"11.464,5","11.409,5","11.501,5","11.395,5","92,87K","0,38%"
21.02.2019,"11.421,5","11.403,5","11.481,5","11.385,5","101,99K","0,13%"
20.02.2019,"11.406,5","11.315,0","11.444,0","11.292,0","104,86K","0,97%"
19.02.2019,"11.297,0","11.300,0","11.368,5","11.235,0","99,64K","0,10%"
18.02.2019,"11.286,0","11.318,5","11.343,5","11.250,5","59,08K","-0,12%"
15.02.2019,"11.299,0","11.075,0","11.322,0","11.011,5","140,67K","1,87%"
14.02.2019,"11.091,5","11.182,0","11.268,0","11.071,5","111,67K","-0,73%"
13.02.2019,"11.173,0","11.150,0","11.218,0","11.118,0","95,97K","0,32%"
12.02.2019,"11.137,0","11.012,5","11.162,5","11.010,0","88,02K","1,04%"
