"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 11, 2020","24.092","24.135","24.245","23.690","-","-0.01%"
"Dec 10, 2020","24.094","24.055","24.430","23.825","58.69K","0.43%"
"Dec 09, 2020","23.990","24.735","24.755","23.695","84.50K","-3.02%"
"Dec 08, 2020","24.736","24.655","25.015","24.550","58.83K","-0.23%"
"Dec 07, 2020","24.794","24.310","24.940","23.630","83.05K","2.22%"
"Dec 06, 2020","24.255","24.285","24.365","24.215","-","0.01%"
"Dec 04, 2020","24.253","24.195","24.585","24.065","68.53K","0.48%"
"Dec 03, 2020","24.137","24.220","24.420","23.850","73.44K","0.24%"
"Dec 02, 2020","24.080","24.130","24.455","23.680","76.79K","-0.04%"
"Dec 01, 2020","24.090","22.700","24.180","22.665","89.39K","6.63%"
"Nov 30, 2020","22.593","22.780","22.830","21.960","95.29K","-0.62%"
"Nov 29, 2020","22.735","22.780","22.785","22.727","-","0.42%"
"Nov 27, 2020","22.639","23.485","23.575","22.400","94.53K","-2.48%"
"Nov 26, 2020","23.215","23.395","23.505","23.190","-","-0.99%"
"Nov 25, 2020","23.446","23.390","23.640","23.210","31.88K","0.15%"
"Nov 24, 2020","23.410","23.735","23.765","23.050","44.02K","-0.94%"
"Nov 23, 2020","23.633","24.225","24.455","23.460","106.43K","-2.58%"
"Nov 22, 2020","24.260","24.207","24.262","24.148","-","-0.42%"
"Nov 20, 2020","24.363","24.115","24.600","23.955","76.35K","1.31%"
"Nov 19, 2020","24.048","24.380","24.425","23.670","94.81K","-1.64%"
"Nov 18, 2020","24.448","24.565","24.780","24.235","82.57K","-0.82%"
"Nov 17, 2020","24.651","24.880","24.900","24.435","57.85K","-0.61%"
"Nov 16, 2020","24.802","24.800","25.155","24.255","81.63K","0.11%"
"Nov 15, 2020","24.775","24.738","24.830","24.725","-","0.00%"
"Nov 13, 2020","24.775","24.365","24.900","24.215","60.87K","1.93%"
