"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"09.04.2020","2.787,25","2.747,62","2.809,38","2.701,25","-","1,91%"
"08.04.2020","2.735,00","2.640,50","2.752,50","2.620,75","-","3,52%"
"07.04.2020","2.642,00","2.645,50","2.750,00","2.623,50","-","-0,09%"
"06.04.2020","2.644,50","2.485,00","2.668,50","2.484,75","-","6,51%"
"03.04.2020","2.482,75","2.513,75","2.529,50","2.449,00","-","-1,34%"
"02.04.2020","2.516,50","2.459,00","2.525,00","2.424,75","-","2,80%"
"01.04.2020","2.448,00","2.562,00","2.562,25","2.434,25","-","-4,74%"
"31.03.2020","2.569,75","2.613,25","2.635,75","2.555,75","-","-1,59%"
"30.03.2020","2.611,25","2.459,00","2.621,75","2.445,00","-","3,46%"
"27.03.2020","2.524,00","2.627,75","2.634,50","2.505,25","-","-3,22%"
"26.03.2020","2.608,00","2.471,00","2.625,75","2.402,25","-","5,72%"
"25.03.2020","2.467,00","2.442,75","2.560,75","2.386,00","-","1,19%"
"24.03.2020","2.438,00","2.233,25","2.447,75","2.230,50","-","9,80%"
"23.03.2020","2.220,50","2.220,25","2.386,00","2.174,00","-","-8,92%"
"20.03.2020","2.437,98","2.364,25","2.512,75","2.346,25","71,68K","1,45%"
"19.03.2020","2.403,25","2.414,25","2.474,00","2.288,00","631,23K","-0,45%"
"18.03.2020","2.414,00","2.478,50","2.498,00","2.274,75","976,54K","-3,27%"
"17.03.2020","2.495,50","2.417,25","2.554,50","2.365,00","1,68M","3,28%"
"16.03.2020","2.416,25","2.673,75","2.675,00","2.360,25","2,38M","-10,38%"
"13.03.2020","2.696,00","2.429,50","2.707,75","2.393,50","3,42M","9,19%"
"12.03.2020","2.469,00","2.738,00","2.774,00","2.442,50","4,37M","-9,90%"
"11.03.2020","2.740,25","2.859,50","2.869,50","2.702,75","2,99M","-4,38%"
"10.03.2020","2.865,75","2.733,00","2.884,75","2.695,25","3,42M","4,29%"
"09.03.2020","2.747,75","2.916,00","2.916,00","2.715,00","2,67M","-7,30%"
"06.03.2020","2.964,00","3.024,25","3.037,00","2.898,00","3,16M","-1,71%"
"05.03.2020","3.015,50","3.109,25","3.113,75","2.996,50","2,81M","-3,19%"
"04.03.2020","3.114,75","2.988,25","3.129,50","2.976,50","2,59M","3,93%"
"03.03.2020","2.997,00","3.077,00","3.137,00","2.973,00","3,75M","-2,22%"
