Macrotrends Data Download

CME S&P 500 Index E-Mini Futures #1 (ES1)

All contracts are Front Month | Calendar-Weighted Adjusted Prices,
Roll on First of Month | Continuous Contract History.

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1997-09-09,944.0000
1997-09-10,925.0000
1997-09-11,918.2500
1997-09-12,933.7500
1997-09-15,931.5000
1997-09-16,956.0000
1997-09-17,956.0000
1997-09-18,957.7500
1997-09-19,961.0000
1997-09-22,966.2500
1997-09-23,962.0000
1997-09-24,954.5000
1997-09-25,946.5000
1997-09-26,953.2500
1997-09-29,961.7500
1997-09-30,954.5000
1997-10-01,963.5000
1997-10-02,969.0000
1997-10-03,975.5000
1997-10-06,980.2500
1997-10-07,989.5000
1997-10-08,982.2500
1997-10-09,978.0000
1997-10-10,976.7500
1997-10-13,976.2500
1997-10-14,977.5000
1997-10-15,973.5000
1997-10-16,959.7500
1997-10-17,948.7500
1997-10-20,962.2500
1997-10-21,979.5000
1997-10-22,974.2500
1997-10-23,955.5000
1997-10-24,944.0000
1997-10-27,874.0000
1997-10-28,924.5000
1997-10-29,924.2500
1997-10-30,903.0000
1997-10-31,924.0000
1997-11-03,945.7500
1997-11-04,942.0000
1997-11-05,947.0000
1997-11-06,942.2500
1997-11-07,931.2500
1997-11-10,926.2500
1997-11-11,926.5000
1997-11-12,908.2500
1997-11-13,919.2500
1997-11-14,932.5000
1997-11-17,950.0000
1997-11-18,942.5000
1997-11-19,947.7500
1997-11-20,963.0000
1997-11-21,969.5000
1997-11-24,949.7500
1997-11-25,953.8000
1997-11-26,959.2000
1997-11-27,963.1000
1997-11-28,963.2000
1997-12-01,990.2500
1997-12-02,986.0000
1997-12-03,988.5000
1997-12-04,988.0000
1997-12-05,997.7500
1997-12-08,995.7500
1997-12-09,990.0000
1997-12-10,981.2500
1997-12-11,965.2500
1997-12-12,966.5000
1997-12-15,974.2500
1997-12-16,980.5000
1997-12-17,975.5000
1997-12-18,965.0000
1997-12-19,957.5000
1997-12-22,962.7500
1997-12-23,945.0000
1997-12-24,941.7500
1997-12-26,946.0000
1997-12-29,965.7500
1997-12-30,979.2500
1997-12-31,979.0000
1998-01-02,984.7500
1998-01-05,987.0000
1998-01-06,971.0000
1998-01-07,974.0000
1998-01-08,961.2500
1998-01-09,929.5000
1998-01-12,945.5000
1998-01-13,959.5000
1998-01-14,963.2500
1998-01-15,955.0000
1998-01-16,968.5000
1998-01-19,972.2500
1998-01-20,985.2500
1998-01-21,975.5000
1998-01-22,966.2500
1998-01-23,964.5000
1998-01-26,963.5000
1998-01-27,973.7500
1998-01-28,982.0000
1998-01-29,987.0000
1998-01-30,987.7500
1998-02-02,1004.0000
