date, value,
6/1/1986,0.95,0.398
7/1/1986,0.76,0.321
8/1/1986,1.01,0.426
9/1/1986,0.95,0.403
10/1/1986,0.94,0.398
11/1/1986,0.99,0.418
12/1/1986,1.14,0.482
1/1/1987,1.22,0.521
2/1/1987,1,0.43
3/1/1987,1.09,0.471
4/1/1987,1.14,0.494
5/1/1987,1.19,0.519
6/1/1987,1.24,0.539
7/1/1987,1.24,0.544
8/1/1987,1.18,0.519
9/1/1987,1.22,0.54
10/1/1987,1.29,0.573
11/1/1987,1.27,0.564
12/1/1987,1.16,0.513
1/1/1988,1.08,0.48
2/1/1988,1.06,0.474
3/1/1988,1.08,0.483
4/1/1988,1.2,0.54
5/1/1988,1.11,0.499
6/1/1988,0.9,0.409
7/1/1988,0.97,0.443
8/1/1988,0.94,0.428
9/1/1988,0.82,0.376
10/1/1988,0.92,0.427
11/1/1988,1.05,0.484
12/1/1988,1.16,0.535
1/1/1989,1.13,0.524
2/1/1989,1.13,0.529
3/1/1989,1.21,0.569
4/1/1989,1.12,0.531
5/1/1989,1.05,0.498
6/1/1989,1.03,0.492
7/1/1989,1.01,0.483
8/1/1989,1.11,0.532
9/1/1989,1.22,0.588
10/1/1989,1.21,0.585
11/1/1989,1.28,0.619
12/1/1989,2.07,1.004
1/1/1990,1.2,0.587
2/1/1990,1.16,0.572
3/1/1990,1.19,0.589
4/1/1990,1.2,0.593
5/1/1990,1,0.499
6/1/1990,0.97,0.483
7/1/1990,1.12,0.561
8/1/1990,1.48,0.747
9/1/1990,2.03,1.035
10/1/1990,1.72,0.883
11/1/1990,1.67,0.86
12/1/1990,1.57,0.809
1/1/1991,1.39,0.718
2/1/1991,1.31,0.679
3/1/1991,1.11,0.574
4/1/1991,1.04,0.538
5/1/1991,1.09,0.568
6/1/1991,1.05,0.549
7/1/1991,1.15,0.601
8/1/1991,1.22,0.64
9/1/1991,1.2,0.632
10/1/1991,1.28,0.674
11/1/1991,1.14,0.606
12/1/1991,0.89,0.469
1/1/1992,0.99,0.525
2/1/1992,0.96,0.509
3/1/1992,1.01,0.539
4/1/1992,1.08,0.578
