date, value
1/1/1919,5.059
2/1/1919,4.835
3/1/1919,4.695
4/1/1919,4.779
5/1/1919,4.807
6/1/1919,5.114
7/1/1919,5.422
8/1/1919,5.506
9/1/1919,5.394
10/1/1919,5.338
11/1/1919,5.254
12/1/1919,5.338
1/1/1920,5.841
2/1/1920,5.841
3/1/1920,5.729
4/1/1920,5.422
5/1/1920,5.562
6/1/1920,5.617
7/1/1920,5.478
8/1/1920,5.506
9/1/1920,5.31
10/1/1920,5.086
11/1/1920,4.667
12/1/1920,4.388
1/1/1921,4.136
2/1/1921,4.052
3/1/1921,3.941
4/1/1921,3.941
5/1/1921,4.052
6/1/1921,4.024
7/1/1921,3.997
8/1/1921,4.136
9/1/1921,4.164
10/1/1921,4.416
11/1/1921,4.36
12/1/1921,4.332
1/1/1922,4.5
2/1/1922,4.695
3/1/1922,4.947
4/1/1922,4.779
5/1/1922,5.031
6/1/1922,5.282
7/1/1922,5.282
8/1/1922,5.17
9/1/1922,5.45
10/1/1922,5.757
11/1/1922,6.009
12/1/1922,6.176
1/1/1923,6.037
2/1/1923,6.121
3/1/1923,6.316
4/1/1923,6.456
5/1/1923,6.54
6/1/1923,6.484
7/1/1923,6.428
8/1/1923,6.316
9/1/1923,6.176
10/1/1923,6.148
11/1/1923,6.148
12/1/1923,6.009
1/1/1924,6.148
2/1/1924,6.26
3/1/1924,6.148
4/1/1924,5.953
5/1/1924,5.701
6/1/1924,5.45
7/1/1924,5.366
8/1/1924,5.562
9/1/1924,5.757
10/1/1924,5.897
11/1/1924,6.009
12/1/1924,6.176
1/1/1925,6.372
2/1/1925,6.372
3/1/1925,6.372
4/1/1925,6.428
5/1/1925,6.4
6/1/1925,6.344
7/1/1925,6.512
8/1/1925,6.4
9/1/1925,6.316
10/1/1925,6.568
11/1/1925,6.707
12/1/1925,6.791
1/1/1926,6.679
2/1/1926,6.679
3/1/1926,6.763
4/1/1926,6.763
5/1/1926,6.707
6/1/1926,6.791
7/1/1926,6.819
8/1/1926,6.903
9/1/1926,7.015
10/1/1926,7.015
11/1/1926,6.987
12/1/1926,6.959
1/1/1927,6.931
2/1/1927,6.987
3/1/1927,7.071
4/1/1927,6.903
5/1/1927,6.959
6/1/1927,6.931
7/1/1927,6.847
8/1/1927,6.847
9/1/1927,6.735
10/1/1927,6.596
11/1/1927,6.596
12/1/1927,6.624
1/1/1928,6.763
2/1/1928,6.819
3/1/1928,6.875
4/1/1928,6.847
5/1/1928,6.931
6/1/1928,6.987
7/1/1928,7.071
8/1/1928,7.21
9/1/1928,7.266
10/1/1928,7.406
11/1/1928,7.546
12/1/1928,7.686
1/1/1929,7.797
2/1/1929,7.769
3/1/1929,7.797
4/1/1929,7.937
5/1/1929,8.077
6/1/1929,8.133
7/1/1929,8.245
8/1/1929,8.161
9/1/1929,8.105
10/1/1929,7.965
11/1/1929,7.574
12/1/1929,7.238
1/1/1930,7.238
2/1/1930,7.21
