date,value
1/1/1900,16.9014169
12/31/1900,
1/1/1901,-2.409725
12/31/1901,
1/1/1902,2.4692266
12/31/1902,
1/1/1903,9.6385925
12/31/1903,
1/1/1904,-4.3955736
12/31/1904,
1/1/1905,2.2983445
12/31/1905,
1/1/1906,0
12/31/1906,
1/1/1907,4.4943713
12/31/1907,
1/1/1908,-2.1500751
12/31/1908,
1/1/1909,3.2964463
12/31/1909,
1/1/1910,10.6387025
12/31/1910,
1/1/1911,-6.731328
12/31/1911,
1/1/1912,-1.0302674
12/31/1912,
1/1/1913,7.2913803
12/31/1913,
1/1/1914,2.040816327
2/1/1914,1.020408163
3/1/1914,1.020408163
4/1/1914,0
5/1/1914,2.06185567
6/1/1914,1.020408163
7/1/1914,1.01010101
8/1/1914,3.03030303
9/1/1914,2
10/1/1914,1
11/1/1914,0.99009901
12/1/1914,1
12/31/1914,
1/1/1915,1
2/1/1915,1.01010101
3/1/1915,0
4/1/1915,2.040816327
5/1/1915,2.02020202
6/1/1915,2.02020202
7/1/1915,1
8/1/1915,-0.980392157
9/1/1915,-0.980392157
10/1/1915,0.99009901
11/1/1915,0.980392157
12/1/1915,1.98019802
12/31/1915,
1/1/1916,2.97029703
2/1/1916,4
3/1/1916,6.060606061
4/1/1916,6
5/1/1916,5.940594059
6/1/1916,6.930693069
7/1/1916,6.930693069
8/1/1916,7.920792079
9/1/1916,9.900990099
10/1/1916,10.78431373
11/1/1916,11.65048544
12/1/1916,12.62135922
12/31/1916,
1/1/1917,12.5
2/1/1917,15.38461538
3/1/1917,14.28571429
4/1/1917,18.86792453
5/1/1917,19.62616822
6/1/1917,20.37037037
7/1/1917,18.51851852
8/1/1917,19.26605505
9/1/1917,19.81981982
10/1/1917,19.46902655
11/1/1917,17.39130435
12/1/1917,18.10344828
12/31/1917,
1/1/1918,19.65811966
2/1/1918,17.5
3/1/1918,16.66666667
4/1/1918,12.6984127
5/1/1918,13.28125
6/1/1918,13.07692308
7/1/1918,17.96875
8/1/1918,18.46153846
9/1/1918,18.04511278
10/1/1918,18.51851852
11/1/1918,20.74074074
12/1/1918,20.4379562
12/31/1918,
1/1/1919,17.85714286
2/1/1919,14.89361702
3/1/1919,17.14285714
4/1/1919,17.6056338
5/1/1919,16.55172414
6/1/1919,14.96598639
7/1/1919,15.23178808
8/1/1919,14.93506494
9/1/1919,13.37579618
10/1/1919,13.125
11/1/1919,13.49693252
12/1/1919,14.54545455
12/31/1919,
1/1/1920,16.96969697
2/1/1920,20.37037037
3/1/1920,20.12195122
4/1/1920,21.55688623
5/1/1920,21.89349112
6/1/1920,23.66863905
7/1/1920,19.54022989
8/1/1920,14.68926554
9/1/1920,12.35955056
10/1/1920,9.944751381
11/1/1920,7.027027027
12/1/1920,2.645502646
12/31/1920,
1/1/1921,-1.554404145
2/1/1921,-5.641025641
3/1/1921,-7.106598985
4/1/1921,-10.83743842
5/1/1921,-14.0776699
6/1/1921,-15.78947368
7/1/1921,-14.90384615
8/1/1921,-12.80788177
9/1/1921,-12.5
10/1/1921,-12.06030151
11/1/1921,-12.12121212
12/1/1921,-10.82474227
12/31/1921,
1/1/1922,-11.05263158
2/1/1922,-8.152173913
3/1/1922,-8.743169399
4/1/1922,-7.73480663
5/1/1922,-5.649717514
6/1/1922,-5.113636364
7/1/1922,-5.084745763
8/1/1922,-6.214689266
9/1/1922,-5.142857143
10/1/1922,-4.571428571
11/1/1922,-3.448275862
12/1/1922,-2.312138728
12/31/1922,
1/1/1923,-0.591715976
2/1/1923,-0.591715976
3/1/1923,0.598802395
4/1/1923,1.19760479
5/1/1923,1.19760479
6/1/1923,1.796407186
7/1/1923,2.380952381
8/1/1923,3.012048193
9/1/1923,3.614457831
10/1/1923,3.592814371
11/1/1923,2.976190476
12/1/1923,2.366863905
12/31/1923,
1/1/1924,2.976190476
2/1/1924,2.380952381
3/1/1924,1.785714286
4/1/1924,0.591715976
5/1/1924,0.591715976
6/1/1924,0
7/1/1924,-0.581395349
8/1/1924,-0.584795322
9/1/1924,-0.581395349
10/1/1924,-0.578034682
11/1/1924,-0.578034682
12/1/1924,0
12/31/1924,
1/1/1925,0
2/1/1925,0
3/1/1925,1.169590643
4/1/1925,1.176470588
5/1/1925,1.764705882
6/1/1925,2.941176471
7/1/1925,3.50877193
8/1/1925,4.117647059
9/1/1925,3.50877193
10/1/1925,2.906976744
11/1/1925,4.651162791
12/1/1925,3.468208092
12/31/1925,
1/1/1926,3.468208092
2/1/1926,4.069767442
3/1/1926,2.89017341
4/1/1926,4.069767442
