date, value
1967-01-01,204000.0
1967-02-01,242000.0
1967-03-01,247000.0
1967-04-01,255000.0
1967-05-01,228000.0
1967-06-01,218000.0
1967-07-01,209000.0
1967-08-01,213000.0
1967-09-01,204000.0
1967-10-01,207000.0
1967-11-01,191000.0
1967-12-01,216000.0
1968-01-01,198000.0
1968-02-01,193000.0
1968-03-01,192000.0
1968-04-01,251000.0
1968-05-01,194000.0
1968-06-01,194000.0
1968-07-01,205000.0
1968-08-01,188000.0
1968-09-01,189000.0
1968-10-01,182000.0
1968-11-01,162000.0
1968-12-01,223000.0
1969-01-01,193000.0
1969-02-01,192000.0
1969-03-01,183000.0
1969-04-01,177000.0
1969-05-01,187000.0
1969-06-01,203000.0
1969-07-01,192000.0
1969-08-01,195000.0
1969-09-01,193000.0
1969-10-01,205000.0
1969-11-01,202000.0
1969-12-01,223000.0
1970-01-01,239000.0
1970-02-01,242000.0
1970-03-01,276000.0
1970-04-01,349000.0
1970-05-01,301000.0
1970-06-01,291000.0
1970-07-01,287000.0
1970-08-01,297000.0
1970-09-01,333000.0
1970-10-01,327000.0
1970-11-01,337000.0
1970-12-01,321000.0
1971-01-01,292000.0
1971-02-01,290000.0
1971-03-01,300000.0
1971-04-01,288000.0
1971-05-01,299000.0
1971-06-01,291000.0
1971-07-01,308000.0
1971-08-01,307000.0
1971-09-01,308000.0
1971-10-01,283000.0
1971-11-01,278000.0
1971-12-01,244000.0
1972-01-01,269000.0
1972-02-01,254000.0
1972-03-01,264000.0
1972-04-01,265000.0
1972-05-01,267000.0
1972-06-01,286000.0
1972-07-01,247000.0
1972-08-01,262000.0
1972-09-01,251000.0
1972-10-01,234000.0
1972-11-01,235000.0
1972-12-01,225000.0
1973-01-01,214000.0
1973-02-01,218000.0
1973-03-01,222000.0
1973-04-01,236000.0
1973-05-01,238000.0
1973-06-01,237000.0
1973-07-01,250000.0
1973-08-01,254000.0
1973-09-01,249000.0
1973-10-01,235000.0
1973-11-01,233000.0
1973-12-01,300000.0
1974-01-01,291000.0
1974-02-01,292000.0
1974-03-01,323000.0
1974-04-01,283000.0
1974-05-01,309000.0
1974-06-01,325000.0
1974-07-01,320000.0
1974-08-01,350000.0
1974-09-01,366000.0
1974-10-01,414000.0
1974-11-01,474000.0
1974-12-01,537000.0
1975-01-01,555000.0
1975-02-01,544000.0
1975-03-01,555000.0
1975-04-01,513000.0
1975-05-01,475000.0
1975-06-01,459000.0
1975-07-01,454000.0
1975-08-01,446000.0
1975-09-01,445000.0
1975-10-01,426000.0
1975-11-01,387000.0
1975-12-01,391000.0
1976-01-01,359000.0
1976-02-01,349000.0
1976-03-01,366000.0
1976-04-01,367000.0
1976-05-01,402000.0
1976-06-01,387000.0
1976-07-01,388000.0
1976-08-01,394000.0
1976-09-01,423000.0
1976-10-01,414000.0
1976-11-01,377000.0
1976-12-01,333000.0
1977-01-01,422000.0
1977-02-01,362000.0
1977-03-01,356000.0
1977-04-01,375000.0
1977-05-01,381000.0
1977-06-01,365000.0
1977-07-01,365000.0
1977-08-01,365000.0
1977-09-01,380000.0
1977-10-01,349000.0
1977-11-01,354000.0
1977-12-01,364000.0
1978-01-01,363000.0
1978-02-01,371000.0
1978-03-01,335000.0
1978-04-01,324000.0
1978-05-01,318000.0
1978-06-01,330000.0
1978-07-01,346000.0
1978-08-01,333000.0
1978-09-01,318000.0
1978-10-01,316000.0
1978-11-01,359000.0
1978-12-01,358000.0
1979-01-01,342000.0
1979-02-01,360000.0
1979-03-01,360000.0
1979-04-01,357000.0
1979-05-01,349000.0
1979-06-01,369000.0
1979-07-01,386000.0
1979-08-01,390000.0
1979-09-01,390000.0
1979-10-01,398000.0
1979-11-01,414000.0
1979-12-01,428000.0
1980-01-01,412000.0
1980-02-01,428000.0
1980-03-01,475000.0
1980-04-01,563000.0
1980-05-01,637000.0
1980-06-01,627000.0
1980-07-01,558000.0
1980-08-01,502000.0
1980-09-01,463000.0
1980-10-01,418000.0
1980-11-01,412000.0
1980-12-01,399000.0
1981-01-01,419000.0
1981-02-01,434000.0
1981-03-01,412000.0
1981-04-01,436000.0
1981-05-01,417000.0
1981-06-01,444000.0
1981-07-01,407000.0
1981-08-01,451000.0
1981-09-01,491000.0
1981-10-01,514000.0
1981-11-01,552000.0
1981-12-01,556000.0
1982-01-01,583000.0
1982-02-01,528000.0
1982-03-01,574000.0
1982-04-01,588000.0
1982-05-01,588000.0
1982-06-01,582000.0
1982-07-01,605000.0
1982-08-01,647000.0
1982-09-01,671000.0
1982-10-01,637000.0
1982-11-01,612000.0
1982-12-01,489000.0
1983-01-01,503000.0
1983-02-01,481000.0
1983-03-01,481000.0
1983-04-01,490000.0
1983-05-01,454000.0
1983-06-01,442000.0
1983-07-01,415000.0
1983-08-01,426000.0
1983-09-01,416000.0
1983-10-01,404000.0
1983-11-01,398000.0
1983-12-01,372000.0
1984-01-01,364000.0
1984-02-01,343000.0
1984-03-01,341000.0
1984-04-01,375000.0
1984-05-01,354000.0
1984-06-01,360000.0
1984-07-01,359000.0
1984-08-01,395000.0
1984-09-01,402000.0
1984-10-01,425000.0
1984-11-01,429000.0
1984-12-01,379000.0
1985-01-01,368000.0
1985-02-01,390000.0
1985-03-01,386000.0
1985-04-01,386000.0
1985-05-01,396000.0
1985-06-01,390000.0
1985-07-01,362000.0
1985-08-01,409000.0
1985-09-01,399000.0
1985-10-01,418000.0
1985-11-01,393000.0
1985-12-01,390000.0
1986-01-01,344000.0
1986-02-01,390000.0
1986-03-01,396000.0
1986-04-01,391000.0
1986-05-01,373000.0
1986-06-01,371000.0
1986-07-01,362000.0
1986-08-01,401000.0
1986-09-01,389000.0
1986-10-01,370000.0
1986-11-01,366000.0
1986-12-01,345000.0
1987-01-01,370000.0
1987-02-01,348000.0
1987-03-01,326000.0
1987-04-01,328000.0
1987-05-01,326000.0
1987-06-01,326000.0
1987-07-01,324000.0
1987-08-01,322000.0
1987-09-01,317000.0
1987-10-01,289000.0
1987-11-01,306000.0
1987-12-01,316000.0
1988-01-01,342000.0
1988-02-01,319000.0
1988-03-01,304000.0
1988-04-01,313000.0
1988-05-01,313000.0
1988-06-01,307000.0
1988-07-01,331000.0
1988-08-01,315000.0
1988-09-01,301000.0
1988-10-01,294000.0
1988-11-01,299000.0
1988-12-01,304000.0
1989-01-01,295000.0
1989-02-01,300000.0
1989-03-01,319000.0
1989-04-01,311000.0
1989-05-01,325000.0
1989-06-01,338000.0
1989-07-01,337000.0
1989-08-01,332000.0
1989-09-01,347000.0
1989-10-01,354000.0
1989-11-01,342000.0
1989-12-01,358000.0
1990-01-01,345000.0
1990-02-01,350000.0
1990-03-01,346000.0
1990-04-01,363000.0
1990-05-01,359000.0
1990-06-01,364000.0
1990-07-01,369000.0
1990-08-01,394000.0
1990-09-01,404000.0
1990-10-01,440000.0
1990-11-01,462000.0
1990-12-01,454000.0
1991-01-01,462000.0
1991-02-01,499000.0
1991-03-01,499000.0
1991-04-01,462000.0
1991-05-01,443000.0
1991-06-01,418000.0
1991-07-01,423000.0
1991-08-01,425000.0
1991-09-01,437000.0
1991-10-01,423000.0
1991-11-01,444000.0
1991-12-01,441000.0
1992-01-01,441000.0
1992-02-01,444000.0
1992-03-01,420000.0
1992-04-01,424000.0
1992-05-01,411000.0
1992-06-01,420000.0
1992-07-01,564000.0
1992-08-01,408000.0
1992-09-01,409000.0
1992-10-01,365000.0
1992-11-01,341000.0
1992-12-01,313000.0
1993-01-01,340000.0
1993-02-01,362000.0
1993-03-01,366000.0
1993-04-01,350000.0
1993-05-01,349000.0
1993-06-01,340000.0
1993-07-01,356000.0
1993-08-01,337000.0
1993-09-01,343000.0
1993-10-01,348000.0
1993-11-01,337000.0
1993-12-01,290000.0
1994-01-01,406000.0
1994-02-01,327000.0
1994-03-01,322000.0
1994-04-01,344000.0
1994-05-01,348000.0
1994-06-01,341000.0
1994-07-01,332000.0
1994-08-01,341000.0
1994-09-01,325000.0
1994-10-01,331000.0
1994-11-01,329000.0
1994-12-01,319000.0
1995-01-01,324000.0
1995-02-01,336000.0
1995-03-01,332000.0
1995-04-01,365000.0
1995-05-01,374000.0
1995-06-01,358000.0
1995-07-01,351000.0
1995-08-01,359000.0
1995-09-01,355000.0
1995-10-01,377000.0
1995-11-01,379000.0
1995-12-01,359000.0
1996-01-01,387000.0
1996-02-01,365000.0
1996-03-01,393000.0
1996-04-01,343000.0
1996-05-01,343000.0
1996-06-01,337000.0
1996-07-01,327000.0
1996-08-01,329000.0
1996-09-01,348000.0
1996-10-01,352000.0
1996-11-01,332000.0
1996-12-01,357000.0
1997-01-01,340000.0
1997-02-01,322000.0
1997-03-01,325000.0
1997-04-01,337000.0
1997-05-01,321000.0
1997-06-01,322000.0
1997-07-01,306000.0
1997-08-01,332000.0
1997-09-01,317000.0
1997-10-01,306000.0
1997-11-01,318000.0
1997-12-01,303000.0
1998-01-01,315000.0
1998-02-01,317000.0
1998-03-01,312000.0
1998-04-01,311000.0
1998-05-01,322000.0
1998-06-01,376000.0
1998-07-01,335000.0
1998-08-01,310000.0
1998-09-01,294000.0
1998-10-01,308000.0
1998-11-01,310000.0
1998-12-01,336000.0
1999-01-01,305000.0
1999-02-01,301000.0
1999-03-01,298000.0
1999-04-01,291000.0
1999-05-01,303000.0
1999-06-01,291000.0
1999-07-01,300000.0
1999-08-01,290000.0
1999-09-01,306000.0
1999-10-01,285000.0
1999-11-01,288000.0
1999-12-01,268000.0
2000-01-01,285000.0
2000-02-01,280000.0
2000-03-01,272000.0
2000-04-01,291000.0
2000-05-01,280000.0
2000-06-01,296000.0
2000-07-01,298000.0
2000-08-01,312000.0
2000-09-01,292000.0
2000-10-01,301000.0
2000-11-01,356000.0
2000-12-01,353000.0
2001-01-01,362000.0
2001-02-01,386000.0
2001-03-01,388000.0
2001-04-01,406000.0
2001-05-01,405000.0
2001-06-01,394000.0
2001-07-01,388000.0
2001-08-01,395000.0
2001-09-01,517000.0
2001-10-01,483000.0
2001-11-01,491000.0
2001-12-01,421000.0
2002-01-01,414000.0
2002-02-01,398000.0
2002-03-01,479000.0
2002-04-01,414000.0
2002-05-01,403000.0
2002-06-01,386000.0
2002-07-01,390000.0
2002-08-01,394000.0
2002-09-01,409000.0
2002-10-01,409000.0
2002-11-01,377000.0
2002-12-01,409000.0
2003-01-01,407000.0
2003-02-01,421000.0
2003-03-01,436000.0
2003-04-01,444000.0
2003-05-01,431000.0
2003-06-01,429000.0
2003-07-01,398000.0
2003-08-01,407000.0
2003-09-01,387000.0
2003-10-01,379000.0
2003-11-01,357000.0
2003-12-01,349000.0
2004-01-01,376000.0
2004-02-01,348000.0
2004-03-01,340000.0
2004-04-01,339000.0
2004-05-01,337000.0
2004-06-01,348000.0
2004-07-01,341000.0
2004-08-01,352000.0
2004-09-01,351000.0
2004-10-01,332000.0
2004-11-01,335000.0
2004-12-01,320000.0
2005-01-01,331000.0
2005-02-01,314000.0
2005-03-01,342000.0
2005-04-01,334000.0
2005-05-01,340000.0
2005-06-01,311000.0
2005-07-01,316000.0
2005-08-01,318000.0
2005-09-01,359000.0
2005-10-01,322000.0
2005-11-01,311000.0
2005-12-01,302000.0
2006-01-01,282000.0
2006-02-01,293000.0
2006-03-01,295000.0
2006-04-01,321000.0
2006-05-01,330000.0
2006-06-01,309000.0
2006-07-01,311000.0
2006-08-01,314000.0
2006-09-01,309000.0
2006-10-01,328000.0
2006-11-01,349000.0
2006-12-01,341000.0
2007-01-01,308000.0
2007-02-01,322000.0
2007-03-01,307000.0
2007-04-01,301000.0
2007-05-01,310000.0
2007-06-01,317000.0
2007-07-01,305000.0
2007-08-01,329000.0
2007-09-01,317000.0
2007-10-01,328000.0
2007-11-01,352000.0
2007-12-01,360000.0
2008-01-01,366000.0
2008-02-01,354000.0
2008-03-01,387000.0
2008-04-01,370000.0
2008-05-01,362000.0
2008-06-01,392000.0
2008-07-01,434000.0
2008-08-01,442000.0
2008-09-01,483000.0
2008-10-01,480000.0
2008-11-01,529000.0
2008-12-01,533000.0
2009-01-01,629000.0
2009-02-01,652000.0
2009-03-01,665000.0
2009-04-01,620000.0
2009-05-01,607000.0
2009-06-01,594000.0
2009-07-01,587000.0
2009-08-01,564000.0
2009-09-01,554000.0
2009-10-01,522000.0
2009-11-01,475000.0
2009-12-01,468000.0
2010-01-01,496000.0
2010-02-01,488000.0
2010-03-01,459000.0
2010-04-01,449000.0
2010-05-01,458000.0
2010-06-01,464000.0
2010-07-01,476000.0
2010-08-01,467000.0
2010-09-01,459000.0
2010-10-01,453000.0
2010-11-01,432000.0
2010-12-01,404000.0
2011-01-01,420000.0
2011-02-01,385000.0
2011-03-01,399000.0
2011-04-01,468000.0
2011-05-01,418000.0
2011-06-01,421000.0
2011-07-01,406000.0
2011-08-01,409000.0
2011-09-01,406000.0
2011-10-01,399000.0
2011-11-01,397000.0
2011-12-01,376000.0
2012-01-01,372000.0
2012-02-01,365000.0
