date,value
1/1/1900,
12/31/1900,7.227722772
1/1/1901,
12/31/1901,10.8033241
1/1/1902,
12/31/1902,7.333333333
1/1/1903,
12/31/1903,5.590062112
1/1/1904,
12/31/1904,6.397058824
1/1/1905,
12/31/1905,8.223911541
1/1/1906,
12/31/1906,7.471264368
1/1/1907,
12/31/1907,5.407011289
1/1/1908,
12/31/1908,0.225479143
1/1/1909,
12/31/1909,8.998875141
1/1/1910,
12/31/1910,4.953560372
1/1/1911,
12/31/1911,5.358898722
1/1/1912,
12/31/1912,6.39290714
1/1/1913,
12/31/1913,3.99122807
1/1/1914,
2/1/1914,
3/1/1914,
4/1/1914,
5/1/1914,
6/1/1914,
7/1/1914,
8/1/1914,
9/1/1914,
10/1/1914,
11/1/1914,
12/1/1914,
12/31/1914,3.83804302
1/1/1915,
2/1/1915,
3/1/1915,
4/1/1915,
5/1/1915,
6/1/1915,
7/1/1915,
8/1/1915,
9/1/1915,
10/1/1915,
11/1/1915,
12/1/1915,
12/31/1915,5.36149472
1/1/1916,
2/1/1916,
3/1/1916,
4/1/1916,
5/1/1916,
6/1/1916,
7/1/1916,
8/1/1916,
9/1/1916,
10/1/1916,
11/1/1916,
12/1/1916,
12/31/1916,15.92135698
1/1/1917,
2/1/1917,
3/1/1917,
4/1/1917,
5/1/1917,
6/1/1917,
7/1/1917,
8/1/1917,
9/1/1917,
10/1/1917,
11/1/1917,
12/1/1917,
12/31/1917,14.29996674
1/1/1918,
2/1/1918,
3/1/1918,
4/1/1918,
5/1/1918,
6/1/1918,
7/1/1918,
8/1/1918,
9/1/1918,
10/1/1918,
11/1/1918,
12/1/1918,
12/31/1918,6.371835903
1/1/1919,
2/1/1919,
3/1/1919,
4/1/1919,
5/1/1919,
6/1/1919,
7/1/1919,
8/1/1919,
9/1/1919,
10/1/1919,
11/1/1919,
12/1/1919,
12/31/1919,12.82822757
1/1/1920,
2/1/1920,
3/1/1920,
4/1/1920,
5/1/1920,
6/1/1920,
7/1/1920,
8/1/1920,
9/1/1920,
10/1/1920,
11/1/1920,
12/1/1920,
12/31/1920,10.18181818
1/1/1921,
2/1/1921,
3/1/1921,
4/1/1921,
5/1/1921,
6/1/1921,
7/1/1921,
8/1/1921,
9/1/1921,
10/1/1921,
11/1/1921,
12/1/1921,
12/31/1921,-2.376237624
1/1/1922,
2/1/1922,
3/1/1922,
4/1/1922,
5/1/1922,
6/1/1922,
7/1/1922,
8/1/1922,
9/1/1922,
10/1/1922,
11/1/1922,
12/1/1922,
12/31/1922,4.124408384
1/1/1923,
2/1/1923,
3/1/1923,
4/1/1923,
5/1/1923,
6/1/1923,
7/1/1923,
8/1/1923,
9/1/1923,
10/1/1923,
11/1/1923,
12/1/1923,
12/31/1923,8.571428571
1/1/1924,
2/1/1924,
3/1/1924,
4/1/1924,
5/1/1924,
6/1/1924,
7/1/1924,
8/1/1924,
9/1/1924,
10/1/1924,
11/1/1924,
12/1/1924,
12/31/1924,6.499202552
1/1/1925,
2/1/1925,
3/1/1925,
4/1/1925,
5/1/1925,
6/1/1925,
7/1/1925,
8/1/1925,
9/1/1925,
10/1/1925,
11/1/1925,
12/1/1925,
12/31/1925,8.311493823
1/1/1926,
2/1/1926,
3/1/1926,
4/1/1926,
5/1/1926,
6/1/1926,
7/1/1926,
8/1/1926,
9/1/1926,
10/1/1926,
11/1/1926,
12/1/1926,
12/31/1926,4.752851711
1/1/1927,
2/1/1927,
3/1/1927,
4/1/1927,
5/1/1927,
6/1/1927,
7/1/1927,
8/1/1927,
9/1/1927,
10/1/1927,
11/1/1927,
12/1/1927,
12/31/1927,3.761755486
1/1/1928,
2/1/1928,
3/1/1928,
4/1/1928,
5/1/1928,
6/1/1928,
7/1/1928,
8/1/1928,
9/1/1928,
10/1/1928,
11/1/1928,
12/1/1928,
12/31/1928,4.086500239
1/1/1929,
2/1/1929,
3/1/1929,
4/1/1929,
5/1/1929,
6/1/1929,
7/1/1929,
8/1/1929,
9/1/1929,
10/1/1929,
