date, value
1/5/1970,0.641
1/6/1970,0.643
1/7/1970,0.647
1/8/1970,0.647
1/9/1970,0.645
1/12/1970,0.647
1/13/1970,0.652
1/14/1970,0.653
1/15/1970,0.65
1/16/1970,0.645
1/19/1970,0.643
1/20/1970,0.632
1/21/1970,0.625
1/22/1970,0.626
1/23/1970,0.624
1/26/1970,0.612
1/27/1970,0.612
1/28/1970,0.616
1/29/1970,0.616
1/30/1970,0.606
2/2/1970,0.606
2/3/1970,0.605
2/4/1970,0.596
2/5/1970,0.584
2/6/1970,0.582
2/9/1970,0.591
2/10/1970,0.595
2/11/1970,0.595
2/12/1970,0.604
2/13/1970,0.597
2/16/1970,0.607
2/17/1970,0.603
2/18/1970,0.611
2/19/1970,0.602
2/20/1970,0.602
2/24/1970,0.601
2/25/1970,0.6
2/26/1970,0.5996
2/27/1970,0.6044
3/2/1970,0.617
3/3/1970,0.616
3/4/1970,0.613
3/5/1970,0.615
3/6/1970,0.613
3/9/1970,0.604
3/10/1970,0.605
3/11/1970,0.614
3/12/1970,0.617
3/13/1970,0.617
3/16/1970,0.611
3/17/1970,0.614
3/18/1970,0.614
3/19/1970,0.61
3/20/1970,0.61
3/23/1970,0.61
3/24/1970,0.615
3/25/1970,0.626
3/26/1970,0.633
3/30/1970,0.627
3/31/1970,0.626
4/1/1970,0.642
4/2/1970,0.644
4/3/1970,0.643
4/6/1970,0.646
4/7/1970,0.651
4/8/1970,0.646
4/9/1970,0.637
4/10/1970,0.643
4/13/1970,0.646
4/14/1970,0.646
4/15/1970,0.637
4/16/1970,0.643
4/17/1970,0.64
4/20/1970,0.643
4/21/1970,0.651
4/22/1970,0.652
4/23/1970,0.65
4/24/1970,0.646
4/27/1970,0.6344
4/28/1970,0.6344
4/29/1970,0.631
4/30/1970,0.6344
5/1/1970,0.634
5/4/1970,0.634
5/5/1970,0.634
5/6/1970,0.632
5/7/1970,0.636
5/8/1970,0.644
5/11/1970,0.64
5/12/1970,0.636
5/13/1970,0.64
5/14/1970,0.644
5/15/1970,0.647
5/18/1970,0.646
5/19/1970,0.646
5/20/1970,0.646
5/21/1970,0.654
5/22/1970,0.656
5/25/1970,0.652
5/26/1970,0.644
5/27/1970,0.65
5/28/1970,0.65
6/1/1970,0.645
6/2/1970,0.65
6/3/1970,0.653
6/4/1970,0.656
6/5/1970,0.653
6/8/1970,0.652
6/9/1970,0.654
6/10/1970,0.655
