"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","M3","TOT","IDX2015","M","1970-01",1.976457,
"CAN","M3","TOT","IDX2015","M","1970-02",1.994757,
"CAN","M3","TOT","IDX2015","M","1970-03",2.002563,
"CAN","M3","TOT","IDX2015","M","1970-04",1.994447,
"CAN","M3","TOT","IDX2015","M","1970-05",2.020552,
"CAN","M3","TOT","IDX2015","M","1970-06",2.034614,
"CAN","M3","TOT","IDX2015","M","1970-07",2.038025,
"CAN","M3","TOT","IDX2015","M","1970-08",2.067233,
"CAN","M3","TOT","IDX2015","M","1970-09",2.0952,
"CAN","M3","TOT","IDX2015","M","1970-10",2.100628,
"CAN","M3","TOT","IDX2015","M","1970-11",2.14674,
"CAN","M3","TOT","IDX2015","M","1970-12",2.162662,
"CAN","M3","TOT","IDX2015","M","1971-01",2.193886,
"CAN","M3","TOT","IDX2015","M","1971-02",2.193783,
"CAN","M3","TOT","IDX2015","M","1971-03",2.214719,
"CAN","M3","TOT","IDX2015","M","1971-04",2.217924,
"CAN","M3","TOT","IDX2015","M","1971-05",2.233639,
"CAN","M3","TOT","IDX2015","M","1971-06",2.239843,
"CAN","M3","TOT","IDX2015","M","1971-07",2.263881,
"CAN","M3","TOT","IDX2015","M","1971-08",2.309166,
"CAN","M3","TOT","IDX2015","M","1971-09",2.310562,
"CAN","M3","TOT","IDX2015","M","1971-10",2.353469,
"CAN","M3","TOT","IDX2015","M","1971-11",2.364325,
"CAN","M3","TOT","IDX2015","M","1971-12",2.373061,
"CAN","M3","TOT","IDX2015","M","1972-01",2.45598,
"CAN","M3","TOT","IDX2015","M","1972-02",2.454739,
"CAN","M3","TOT","IDX2015","M","1972-03",2.484671,
"CAN","M3","TOT","IDX2015","M","1972-04",2.534867,
"CAN","M3","TOT","IDX2015","M","1972-05",2.565935,
"CAN","M3","TOT","IDX2015","M","1972-06",2.609514,
"CAN","M3","TOT","IDX2015","M","1972-07",2.61975,
