date, value
1/5/1977,51.25
1/6/1977,51.9
1/7/1977,53
1/10/1977,52.25
1/11/1977,52
1/12/1977,52.25
1/13/1977,53.5
1/14/1977,54.5
1/17/1977,54.5
1/18/1977,55
1/19/1977,55.5
1/20/1977,57.5
1/21/1977,58
1/24/1977,58.5
1/25/1977,59
1/26/1977,59
1/27/1977,59
1/28/1977,58.5
1/31/1977,58.35
2/1/1977,58
2/2/1977,58.1
2/3/1977,59.5
2/4/1977,59.05
2/7/1977,59.25
2/8/1977,59.25
2/9/1977,59.25
2/10/1977,58.95
2/11/1977,58.5
2/14/1977,58.35
2/15/1977,57.8
2/16/1977,57.9
2/17/1977,58.25
2/18/1977,58.15
2/22/1977,58.25
2/23/1977,58.73
2/24/1977,58.77
2/25/1977,58.86
2/28/1977,59.66
3/1/1977,58.9
3/2/1977,59
3/3/1977,59.05
3/4/1977,59.1
3/7/1977,58.8
3/8/1977,58.5
3/9/1977,58.35
3/10/1977,57.75
3/11/1977,56.2
3/14/1977,56.75
3/15/1977,57.1
3/16/1977,57
3/17/1977,56.8
3/18/1977,57
3/21/1977,56.75
3/22/1977,57
3/23/1977,56.85
3/24/1977,56.85
3/25/1977,56.5
3/28/1977,56
3/29/1977,55.2
3/30/1977,55.3
3/31/1977,55.5
4/1/1977,55.75
4/4/1977,55.6
4/5/1977,55.75
4/6/1977,55
4/7/1977,54.3
4/11/1977,54.6
4/12/1977,54.95
4/13/1977,55.1
4/14/1977,54.8
4/15/1977,55
4/18/1977,54.85
4/19/1977,54.8
4/20/1977,54.3
4/21/1977,53.4
4/22/1977,53.85
4/25/1977,53.5
4/26/1977,53.1
4/27/1977,53.3
4/28/1977,53.65
4/29/1977,53.75
5/2/1977,53.6
5/3/1977,53.8
5/4/1977,53.65
5/5/1977,53.3
5/6/1977,53.25
5/9/1977,53.25
5/10/1977,53.05
5/11/1977,53.3
5/12/1977,53.05
5/13/1977,53
5/16/1977,52.5
5/17/1977,52
5/18/1977,51
5/19/1977,50
5/20/1977,49.3
5/23/1977,48
5/24/1977,48.4
5/25/1977,49.14
5/26/1977,48.9
5/27/1977,49.14
5/31/1977,48.7
6/1/1977,48.85
6/2/1977,48.5
6/3/1977,46.85
6/6/1977,46
6/7/1977,44.05
6/8/1977,43.35
6/9/1977,42
6/10/1977,44.6
6/13/1977,42.5
6/14/1977,42.2
6/15/1977,44.4
6/16/1977,45.5
6/17/1977,44.9
6/20/1977,44.75
6/21/1977,45.2
6/22/1977,45.25
6/23/1977,45.25
6/24/1977,45.45
6/27/1977,45.85
6/28/1977,45.75
6/29/1977,45.8
6/30/1977,45.8
7/1/1977,45.3
7/5/1977,45.2
7/6/1977,45.4
7/7/1977,45
7/8/1977,44.7
7/11/1977,44.5
7/12/1977,44.4
7/13/1977,44
7/15/1977,43.75
7/18/1977,44.3
7/19/1977,44.5
7/20/1977,44.1
7/21/1977,44.1
7/22/1977,44
7/25/1977,44.25
7/26/1977,44
7/27/1977,43.25
7/28/1977,43
7/29/1977,43
8/1/1977,42.5
8/2/1977,43
8/4/1977,42.95
8/5/1977,42.6
8/8/1977,42.5
8/9/1977,42.6
8/10/1977,42.35
8/11/1977,42.2
8/12/1977,42.2
8/15/1977,41.7
8/16/1977,41.7
8/17/1977,41.7
8/18/1977,41.65
8/19/1977,41.7
8/22/1977,41.75
8/23/1977,41.9
8/24/1977,41.85
8/25/1977,41.9
8/26/1977,41.96
8/29/1977,41.92
8/30/1977,42.12
8/31/1977,42.408
9/1/1977,42.4
9/2/1977,43.25
9/6/1977,42.8
9/7/1977,43
9/8/1977,42.8
9/9/1977,43.3
9/12/1977,42.9
9/13/1977,42.15
9/14/1977,42
9/15/1977,42
9/16/1977,42.4
9/19/1977,42.5
9/20/1977,42.75
9/21/1977,42.5
9/22/1977,42.5
9/23/1977,42.5
9/26/1977,42.8
9/27/1977,42.75
9/28/1977,42.5
9/29/1977,42.75
9/30/1977,42.5
10/3/1977,43
10/4/1977,43.35
10/5/1977,43.1
10/6/1977,43.05
10/7/1977,42.55
10/10/1977,42.5
10/11/1977,42.5
10/12/1977,42.55
10/13/1977,42.2
10/14/1977,42.7
10/17/1977,42.7
10/18/1977,42.5
10/19/1977,42.5
10/20/1977,42.4
10/21/1977,42.4
10/24/1977,43.8
10/25/1977,44.25
10/26/1977,45.4
10/27/1977,45.4
10/28/1977,46.45
10/31/1977,46.25
11/1/1977,46.25
11/2/1977,45.1
11/3/1977,46.7
11/4/1977,48.2
11/7/1977,49.85
11/8/1977,48.7
11/9/1977,51.6
11/10/1977,52.5
11/11/1977,56.4
11/14/1977,56.2
11/15/1977,54.85
11/16/1977,53.5
11/17/1977,52.75
11/18/1977,52.5
11/21/1977,48.5
11/22/1977,48.2
11/23/1977,50.7
11/25/1977,51.18
11/28/1977,53.12
11/29/1977,51.8
11/30/1977,53.2
12/1/1977,55
12/2/1977,55.25
12/5/1977,55.4
12/6/1977,54.8
12/7/1977,52.5
12/8/1977,51.5
12/9/1977,51.25
12/12/1977,51.4
12/13/1977,52.4
12/14/1977,51.8
12/15/1977,51
12/16/1977,51.9
12/19/1977,50.15
12/20/1977,49.85
12/21/1977,49.7
12/22/1977,49.5
12/23/1977,50
12/27/1977,51.5
12/28/1977,52
12/29/1977,52.9
12/30/1977,52.5
1/3/1978,55
1/4/1978,54.7
1/5/1978,53.35
1/9/1978,53.5
1/10/1978,54
1/11/1978,53.8
1/12/1978,53.4
1/13/1978,53.5
1/16/1978,53.65
1/17/1978,52.75
1/18/1978,52.4
1/19/1978,53.4
1/23/1978,55.2
1/24/1978,57
1/25/1978,59.6
1/26/1978,62.8
1/27/1978,64.1
1/30/1978,64.7
1/31/1978,63.4
2/1/1978,64.3
2/2/1978,62.85
2/3/1978,63.85
2/6/1978,63
2/8/1978,61.75
2/9/1978,61
2/10/1978,62.45
2/13/1978,65.4
2/14/1978,65.8
2/15/1978,68
2/16/1978,68.8
2/17/1978,67.1
2/21/1978,68
2/22/1978,64
2/23/1978,66.1
2/24/1978,63.85
2/27/1978,63.94
2/28/1978,63.68
3/1/1978,63.9
3/2/1978,65
3/3/1978,64.2
3/6/1978,63.15
3/7/1978,65.9
3/8/1978,68.35
3/9/1978,66.9
3/10/1978,65.65
3/13/1978,67.45
3/14/1978,66.7
3/15/1978,66.5
3/16/1978,64.8
3/17/1978,63.1
3/20/1978,59.5
3/21/1978,60.65
3/22/1978,62.9
3/23/1978,61.7
3/27/1978,62.05
3/28/1978,62.7
3/29/1978,61.2
3/30/1978,61.7
3/31/1978,62.1
4/3/1978,61.2
4/4/1978,60
4/5/1978,59.6
4/6/1978,61.1
4/7/1978,61.1
4/10/1978,61.4
4/11/1978,61.7
4/12/1978,61.6
4/13/1978,60.75
4/14/1978,59.9
4/17/1978,56.25
4/18/1978,56.5
4/19/1978,57.1
4/20/1978,53.8
4/21/1978,57.5
4/24/1978,54.85
4/25/1978,55.25
4/26/1978,59.1
4/27/1978,62.95
4/28/1978,62
5/1/1978,60.4
5/2/1978,60.5
5/3/1978,62
5/4/1978,61.35
5/5/1978,60.8
5/8/1978,59.6
5/9/1978,59.15
5/10/1978,59.25
5/11/1978,58.25
5/12/1978,59
5/15/1978,60.25
5/16/1978,59.3
5/17/1978,62.6
5/18/1978,63
5/19/1978,62.15
5/22/1978,59.5
5/23/1978,60.5
5/24/1978,59.9
5/25/1978,59.46
5/26/1978,60.13
5/30/1978,62.72
5/31/1978,61.52
6/1/1978,61.5
6/2/1978,60.5
6/5/1978,59.75
6/6/1978,59.8
6/7/1978,59.5
6/8/1978,60
6/9/1978,58.8
6/12/1978,58.5
6/13/1978,59.15
6/14/1978,59.1
6/15/1978,59.5
6/16/1978,60
6/19/1978,60.25
6/20/1978,60.75
6/21/1978,60.2
6/22/1978,60.3
6/23/1978,60.9
6/26/1978,61
6/27/1978,60.9
6/28/1978,60.75
6/29/1978,59.4
6/30/1978,58.5
7/3/1978,58.55
7/5/1978,58.2
7/6/1978,57.9
7/7/1978,58.9
7/10/1978,58.85
7/11/1978,58.5
7/12/1978,58.1
7/13/1978,58.7
7/14/1978,59.05
