date, value
1/2/1969,237.5
1/3/1969,237.6
1/6/1969,237
1/7/1969,235
1/8/1969,236.1
1/9/1969,234.8
1/10/1969,235
1/13/1969,235.5
1/14/1969,236.1
1/15/1969,237
1/16/1969,237.5
1/17/1969,235.6
1/20/1969,236.8
1/21/1969,238
1/22/1969,237.1
1/23/1969,235.5
1/24/1969,237.3
1/27/1969,237
1/28/1969,237
1/29/1969,237.5
1/30/1969,237
1/31/1969,235.7
2/3/1969,234.5
2/4/1969,235.2
2/5/1969,233.6
2/6/1969,233
2/7/1969,230.5
2/11/1969,223.5
2/12/1969,224.5
2/13/1969,222.5
2/14/1969,221.7
2/17/1969,223.7
2/18/1969,220.5
2/19/1969,226
2/20/1969,226
2/24/1969,227.5
2/25/1969,228
2/26/1969,227
2/27/1969,227.2
2/28/1969,225.5
3/3/1969,226.5
3/4/1969,228.5
3/5/1969,227.5
3/6/1969,229.5
3/7/1969,230.5
3/10/1969,230
3/11/1969,226.5
3/12/1969,227.5
3/13/1969,228
3/14/1969,226.5
3/17/1969,225
3/18/1969,222.6
3/19/1969,223.5
3/20/1969,223
3/21/1969,223.5
3/24/1969,221
3/25/1969,220
3/26/1969,219
3/27/1969,220
3/28/1969,216.5
4/1/1969,210
4/2/1969,207
4/3/1969,207.3
4/7/1969,202
4/8/1969,195.1
4/9/1969,198.2
4/10/1969,199.5
4/11/1969,198
4/14/1969,194
4/15/1969,192
4/16/1969,182.5
4/17/1969,175
4/18/1969,176
4/21/1969,177
4/22/1969,174
4/23/1969,182.5
4/24/1969,187
4/25/1969,184.5
4/28/1969,187
4/29/1969,185
4/30/1969,181.5
5/1/1969,181
5/2/1969,183
5/5/1969,182
5/6/1969,181.5
5/7/1969,187
5/8/1969,188
5/9/1969,186
5/12/1969,181
5/13/1969,176
5/14/1969,177
5/15/1969,181
5/16/1969,180
5/19/1969,178
5/21/1969,180
5/22/1969,182.5
5/23/1969,183
5/26/1969,184.5
5/27/1969,184
5/28/1969,182
5/29/1969,182
6/2/1969,180
6/3/1969,181.5
6/4/1969,179.5
6/5/1969,176.7
6/6/1969,174.8
6/9/1969,173.5
6/10/1969,174
6/11/1969,174.5
6/12/1969,175.2
6/13/1969,176
6/16/1969,172.7
6/17/1969,162.5
6/18/1969,163.5
6/19/1969,161
6/20/1969,162.5
6/23/1969,158.5
6/24/1969,159
6/25/1969,159
6/26/1969,159.2
6/27/1969,160
6/30/1969,158.7
7/1/1969,158.5
7/2/1969,159.1
7/3/1969,157.8
7/7/1969,156
7/8/1969,158.7
7/9/1969,160
7/10/1969,161.5
7/11/1969,164.5
7/14/1969,165
7/15/1969,164.5
7/16/1969,160.5
7/17/1969,160
7/18/1969,160.5
7/22/1969,159
7/23/1969,160.5
7/24/1969,158.5
7/25/1969,157
7/28/1969,155.5
7/29/1969,157
7/30/1969,157
7/31/1969,156.2
8/1/1969,157
8/4/1969,157
8/5/1969,157.5
8/6/1969,157
8/7/1969,157
8/8/1969,156.5
8/11/1969,160
8/12/1969,158.5
8/13/1969,164
8/14/1969,164.5
8/15/1969,164
8/18/1969,162
8/19/1969,162
8/20/1969,163
8/21/1969,161
8/22/1969,160
8/25/1969,159
8/26/1969,157.5
8/27/1969,157
8/28/1969,159.5
8/29/1969,159.5
9/2/1969,161
9/3/1969,163
9/4/1969,162.9
9/5/1969,163
9/8/1969,161.5
9/9/1969,164.5
9/10/1969,163.5
9/11/1969,163
9/12/1969,162.3
9/15/1969,160
9/16/1969,160.6
9/17/1969,162.5
9/18/1969,162
9/19/1969,162.2
9/22/1969,162
9/23/1969,163.7
9/24/1969,169.5
9/25/1969,166.5
9/26/1969,166.9
9/29/1969,167.5
9/30/1969,166.1
10/1/1969,162.5
10/2/1969,162.7
10/3/1969,163.7
10/6/1969,161
10/7/1969,161.5
10/8/1969,159.5
10/9/1969,158.7
10/10/1969,159.1
10/13/1969,154
10/14/1969,156
10/15/1969,159.5
10/16/1969,159.7
10/17/1969,160
10/20/1969,159.2
10/21/1969,160
10/22/1969,160.2
10/23/1969,160.3
10/24/1969,160
10/27/1969,161.5
10/28/1969,160.5
10/29/1969,163.5
10/30/1969,165
10/31/1969,174
11/3/1969,175.4
11/4/1969,180
11/5/1969,184
11/6/1969,184
11/7/1969,186
11/10/1969,192.7
11/11/1969,186
11/12/1969,187
11/13/1969,184.5
11/14/1969,183
11/17/1969,180.2
11/18/1969,176.3
11/19/1969,174
11/20/1969,177.3
11/21/1969,185
11/24/1969,178
11/25/1969,180
11/26/1969,178.5
11/28/1969,182.5
12/1/1969,181
12/2/1969,181.2
12/3/1969,178.5
12/4/1969,173
12/5/1969,173.7
12/8/1969,174.5
12/9/1969,172
12/10/1969,171.5
12/11/1969,172.5
12/12/1969,172.8
12/15/1969,175.5
12/16/1969,175
12/17/1969,170
12/18/1969,169.5
12/19/1969,169.3
12/22/1969,170
12/23/1969,169.1
12/24/1969,168.3
12/29/1969,168.06
12/30/1969,167.26
12/31/1969,166.4
1/5/1970,166.8
1/6/1970,170.9
1/7/1970,169
1/8/1970,169.5
1/9/1970,169
1/12/1970,166.3
1/13/1970,164
1/14/1970,168
1/15/1970,170
1/16/1970,172
1/19/1970,176
1/20/1970,174
1/21/1970,174.5
1/22/1970,174
1/23/1970,175
1/26/1970,176.7
1/27/1970,173
1/28/1970,175
1/29/1970,175
1/30/1970,169.8
2/2/1970,167
2/3/1970,169.5
2/4/1970,169
2/5/1970,169
2/6/1970,170.5
2/9/1970,172
2/10/1970,169
2/11/1970,166
2/12/1970,168.5
2/13/1970,167
2/16/1970,168
