date,value
1953-01-01,35650
1954-01-01,34710
1955-01-01,36964
1956-01-01,39380
1957-01-01,39612
1958-01-01,39490
1959-01-01,41708
1960-01-01,42574
1961-01-01,43012
1962-01-01,44229
1963-01-01,45773
1964-01-01,47471
1965-01-01,49514
1966-01-01,52129
1967-01-01,53240
1968-01-01,55745
1969-01-01,58317
1970-01-01,58137
1971-01-01,58056
1972-01-01,60920
1973-01-01,62153
1974-01-01,60493
1975-01-01,59438
1976-01-01,61281
1977-01-01,61693
1978-01-01,63616
1979-01-01,64519
1980-01-01,62275
1981-01-01,60597
1982-01-01,59814
1983-01-01,60171
1984-01-01,62122
1985-01-01,63019
1986-01-01,65783
1987-01-01,66859
1988-01-01,67072
1989-01-01,68299
1990-01-01,67258
1991-01-01,65973
1992-01-01,65508
1993-01-01,64571
1994-01-01,66370
1995-01-01,67865
1996-01-01,68854
1997-01-01,71011
1998-01-01,73472
1999-01-01,75163
2000-01-01,75526
2001-01-01,74413
2002-01-01,73647
2003-01-01,73405
2004-01-01,73348
2005-01-01,73744
2006-01-01,74241
2007-01-01,75838
2008-01-01,73230
2009-01-01,71774
2010-01-01,70783
2011-01-01,69461
2012-01-01,69433
2013-01-01,71970
2014-01-01,72027
2015-01-01,76290
2016-01-01,77459
2017-01-01,79404
2018-01-01,80071
2019-01-01,86011
