date, value
1/1/1992,118643
2/1/1992,118514
3/1/1992,117719
4/1/1992,118192
5/1/1992,118552
6/1/1992,118557
7/1/1992,119078
8/1/1992,119174
9/1/1992,120062
10/1/1992,120452
11/1/1992,120355
12/1/1992,121571
1/1/1993,122604
2/1/1993,121433
3/1/1993,120257
4/1/1993,122925
5/1/1993,123748
6/1/1993,123493
7/1/1993,125093
8/1/1993,124787
9/1/1993,125379
10/1/1993,125625
11/1/1993,126538
12/1/1993,127368
1/1/1994,126540
2/1/1994,128205
3/1/1994,130243
4/1/1994,130185
5/1/1994,129451
6/1/1994,130626
7/1/1994,130568
8/1/1994,131649
9/1/1994,132454
10/1/1994,133587
11/1/1994,133326
12/1/1994,133691
1/1/1995,133942
2/1/1995,131467
3/1/1995,132427
4/1/1995,132443
5/1/1995,133460
6/1/1995,134847
7/1/1995,134311
8/1/1995,135075
9/1/1995,135191
10/1/1995,134304
11/1/1995,135759
12/1/1995,136734
1/1/1996,134926
2/1/1996,136781
3/1/1996,137527
4/1/1996,137504
5/1/1996,138302
6/1/1996,137881
7/1/1996,137818
8/1/1996,137630
9/1/1996,139023
10/1/1996,139721
11/1/1996,139250
12/1/1996,139471
1/1/1997,140228
2/1/1997,141145
3/1/1997,141512
4/1/1997,140455
5/1/1997,139403
6/1/1997,141104
7/1/1997,142605
8/1/1997,142610
9/1/1997,142856
10/1/1997,142305
11/1/1997,142539
12/1/1997,142891
1/1/1998,142966
2/1/1998,143002
3/1/1998,143854
4/1/1998,145485
5/1/1998,145790
6/1/1998,146780
7/1/1998,145480
8/1/1998,144683
9/1/1998,145897
10/1/1998,147975
11/1/1998,148877
12/1/1998,149986
1/1/1999,149903
2/1/1999,151494
3/1/1999,152098
4/1/1999,152151
5/1/1999,153457
6/1/1999,153899
7/1/1999,154434
8/1/1999,155747
9/1/1999,155752
10/1/1999,155756
11/1/1999,157294
12/1/1999,159879
1/1/2000,158353
2/1/2000,160012
3/1/2000,160944
4/1/2000,158575
5/1/2000,158539
6/1/2000,158792
7/1/2000,157868
8/1/2000,158045
9/1/2000,159863
10/1/2000,159271
11/1/2000,158394
12/1/2000,157924
1/1/2001,158836
2/1/2001,158409
3/1/2001,156995
4/1/2001,159186
5/1/2001,158793
6/1/2001,157793
7/1/2001,157566
8/1/2001,158638
9/1/2001,155022
10/1/2001,165886
11/1/2001,161668
12/1/2001,159924
1/1/2002,159543
2/1/2002,160143
3/1/2002,159250
4/1/2002,161089
5/1/2002,158747
6/1/2002,160007
7/1/2002,161325
8/1/2002,162133
9/1/2002,159519
10/1/2002,159810
11/1/2002,160597
12/1/2002,161687
1/1/2003,161691
2/1/2003,158588
3/1/2003,161134
4/1/2003,161354
5/1/2003,162061
6/1/2003,163641
7/1/2003,164805
8/1/2003,166834
9/1/2003,165280
10/1/2003,164851
11/1/2003,166771
12/1/2003,165718
1/1/2004,165998
2/1/2004,166788
3/1/2004,169381
4/1/2004,167296
5/1/2004,169481
6/1/2004,166733
7/1/2004,168455
8/1/2004,168592
9/1/2004,171006
10/1/2004,171247
11/1/2004,171015
12/1/2004,173122
1/1/2005,171553
2/1/2005,173090
3/1/2005,172750
4/1/2005,173765
5/1/2005,172790
6/1/2005,177593
7/1/2005,177822
8/1/2005,175067
9/1/2005,173016
10/1/2005,172826
11/1/2005,175328
12/1/2005,175369
1/1/2006,179293
2/1/2006,177887
3/1/2006,178100
4/1/2006,178088
5/1/2006,177200
6/1/2006,177343
7/1/2006,176937
8/1/2006,176983
9/1/2006,177002
10/1/2006,177544
11/1/2006,177854
12/1/2006,179089
1/1/2007,178736
2/1/2007,178237
3/1/2007,178850
4/1/2007,177844
5/1/2007,179408
6/1/2007,177651
7/1/2007,178039
8/1/2007,178824
9/1/2007,178794
10/1/2007,179401
11/1/2007,179696
12/1/2007,177019
1/1/2008,176853
2/1/2008,174826
3/1/2008,174630
4/1/2008,174146
5/1/2008,174731
6/1/2008,173112
7/1/2008,171238
8/1/2008,170234
9/1/2008,167550
10/1/2008,162654
11/1/2008,159205
12/1/2008,157093
1/1/2009,158979
2/1/2009,157766
3/1/2009,155179
4/1/2009,155777
5/1/2009,156911
6/1/2009,158240
7/1/2009,158582
8/1/2009,160908
9/1/2009,156817
10/1/2009,157801
11/1/2009,158527
12/1/2009,159226
1/1/2010,159169
2/1/2010,159607
3/1/2010,163148
4/1/2010,164334
5/1/2010,162924
6/1/2010,163043
7/1/2010,162950
8/1/2010,163690
9/1/2010,164608
10/1/2010,165962
11/1/2010,167289
12/1/2010,167486
1/1/2011,168068
2/1/2011,169023
3/1/2011,169673
4/1/2011,169925
5/1/2011,169169
6/1/2011,170458
7/1/2011,169832
8/1/2011,169800
9/1/2011,171103
10/1/2011,171968
11/1/2011,172378
12/1/2011,172446
1/1/2012,173531
2/1/2012,175286
3/1/2012,175608
4/1/2012,174493
5/1/2012,174613
6/1/2012,173347
7/1/2012,173874
8/1/2012,174911
9/1/2012,175472
10/1/2012,175241
11/1/2012,176252
12/1/2012,176798
1/1/2013,177972
2/1/2013,179112
3/1/2013,178329
4/1/2013,177832
5/1/2013,178621
6/1/2013,178761
7/1/2013,179688
8/1/2013,178887
9/1/2013,178725
10/1/2013,179413
11/1/2013,179692
12/1/2013,180157
1/1/2014,177952
2/1/2014,180280
3/1/2014,181750
