date,value
01.01.2021,1.4
01.02.2021,1.68
01.03.2021,2.62
01.04.2021,4.16
01.01.2020,2.49
01.02.2020,2.33
01.03.2020,1.54
01.04.2020,0.33
01.05.2020,0.12
01.06.2020,0.65
01.07.2020,0.99
01.08.2020,1.31
01.09.2020,1.37
01.10.2020,1.18
01.11.2020,1.17
01.12.2020,1.36
01.01.2019,1.55
01.02.2019,1.52
01.03.2019,1.86
01.04.2019,2.0
01.05.2019,1.79
01.06.2019,1.65
01.07.2019,1.81
01.08.2019,1.75
01.09.2019,1.71
01.10.2019,1.76
01.11.2019,2.05
01.12.2019,2.29
01.01.2018,2.07
01.02.2018,2.21
01.03.2018,2.36
01.04.2018,2.46
01.05.2018,2.8
01.06.2018,2.87
01.07.2018,2.95
01.08.2018,2.7
01.09.2018,2.28
01.10.2018,2.52
01.11.2018,2.18
01.12.2018,1.91
01.01.2017,2.5
01.02.2017,2.74
01.03.2017,2.38
01.04.2017,2.2
01.05.2017,1.87
01.06.2017,1.63
01.07.2017,1.73
01.08.2017,1.94
01.09.2017,2.23
01.10.2017,2.04
01.11.2017,2.2
01.12.2017,2.11
01.01.2016,1.37
01.02.2016,1.02
01.03.2016,0.85
01.04.2016,1.13
01.05.2016,1.02
01.06.2016,1.0
01.07.2016,0.83
01.08.2016,1.06
01.09.2016,1.46
01.10.2016,1.64
01.11.2016,1.69
01.12.2016,2.07
01.01.2015,-0.09
01.02.2015,-0.03
01.03.2015,-0.07
01.04.2015,-0.2
01.05.2015,-0.04
01.06.2015,0.12
01.07.2015,0.17
01.08.2015,0.2
01.09.2015,-0.04
01.10.2015,0.17
01.11.2015,0.5
01.12.2015,0.73
01.01.2014,1.58
01.02.2014,1.13
01.03.2014,1.51
01.04.2014,1.95
01.05.2014,2.13
01.06.2014,2.07
01.07.2014,1.99
01.08.2014,1.7
01.09.2014,1.66
01.10.2014,1.66
01.11.2014,1.32
01.12.2014,0.76
01.01.2013,1.59
01.02.2013,1.98
01.03.2013,1.47
01.04.2013,1.06
01.05.2013,1.36
01.06.2013,1.75
01.07.2013,1.96
01.08.2013,1.52
01.09.2013,1.18
01.10.2013,0.96
01.11.2013,1.24
01.12.2013,1.5
01.01.2012,2.93
01.02.2012,2.87
01.03.2012,2.65
01.04.2012,2.3
01.05.2012,1.7
01.06.2012,1.66
01.07.2012,1.41
01.08.2012,1.69
01.09.2012,1.99
01.10.2012,2.16
01.11.2012,1.76
01.12.2012,1.74
01.01.2011,1.63
01.02.2011,2.11
01.03.2011,2.68
01.04.2011,3.16
01.05.2011,3.57
01.06.2011,3.56
01.07.2011,3.63
01.08.2011,3.77
01.09.2011,3.87
