LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
CHN,CLI,AMPLITUD,LTRENDIDX,M,1992-05,100.7452
CHN,CLI,AMPLITUD,LTRENDIDX,M,1992-06,101.0401
CHN,CLI,AMPLITUD,LTRENDIDX,M,1992-07,101.302
CHN,CLI,AMPLITUD,LTRENDIDX,M,1992-08,101.5254
CHN,CLI,AMPLITUD,LTRENDIDX,M,1992-09,101.713
CHN,CLI,AMPLITUD,LTRENDIDX,M,1992-10,101.8682
CHN,CLI,AMPLITUD,LTRENDIDX,M,1992-11,101.983
CHN,CLI,AMPLITUD,LTRENDIDX,M,1992-12,102.0588
CHN,CLI,AMPLITUD,LTRENDIDX,M,1993-01,102.0998
CHN,CLI,AMPLITUD,LTRENDIDX,M,1993-02,102.1119
CHN,CLI,AMPLITUD,LTRENDIDX,M,1993-03,102.0936
CHN,CLI,AMPLITUD,LTRENDIDX,M,1993-04,102.0377
CHN,CLI,AMPLITUD,LTRENDIDX,M,1993-05,101.9422
CHN,CLI,AMPLITUD,LTRENDIDX,M,1993-06,101.8031
CHN,CLI,AMPLITUD,LTRENDIDX,M,1993-07,101.6223
CHN,CLI,AMPLITUD,LTRENDIDX,M,1993-08,101.4289
CHN,CLI,AMPLITUD,LTRENDIDX,M,1993-09,101.2694
CHN,CLI,AMPLITUD,LTRENDIDX,M,1993-10,101.1704
CHN,CLI,AMPLITUD,LTRENDIDX,M,1993-11,101.1458
CHN,CLI,AMPLITUD,LTRENDIDX,M,1993-12,101.1886
CHN,CLI,AMPLITUD,LTRENDIDX,M,1994-01,101.2628
CHN,CLI,AMPLITUD,LTRENDIDX,M,1994-02,101.3417
CHN,CLI,AMPLITUD,LTRENDIDX,M,1994-03,101.4045
CHN,CLI,AMPLITUD,LTRENDIDX,M,1994-04,101.4319
CHN,CLI,AMPLITUD,LTRENDIDX,M,1994-05,101.412
CHN,CLI,AMPLITUD,LTRENDIDX,M,1994-06,101.349
CHN,CLI,AMPLITUD,LTRENDIDX,M,1994-07,101.252
CHN,CLI,AMPLITUD,LTRENDIDX,M,1994-08,101.1419
CHN,CLI,AMPLITUD,LTRENDIDX,M,1994-09,101.0412
CHN,CLI,AMPLITUD,LTRENDIDX,M,1994-10,100.9668
CHN,CLI,AMPLITUD,LTRENDIDX,M,1994-11,100.935
CHN,CLI,AMPLITUD,LTRENDIDX,M,1994-12,100.9436
CHN,CLI,AMPLITUD,LTRENDIDX,M,1995-01,100.9963
CHN,CLI,AMPLITUD,LTRENDIDX,M,1995-02,101.078
CHN,CLI,AMPLITUD,LTRENDIDX,M,1995-03,101.1569
CHN,CLI,AMPLITUD,LTRENDIDX,M,1995-04,101.2279
CHN,CLI,AMPLITUD,LTRENDIDX,M,1995-05,101.2882
CHN,CLI,AMPLITUD,LTRENDIDX,M,1995-06,101.3436
CHN,CLI,AMPLITUD,LTRENDIDX,M,1995-07,101.4086
CHN,CLI,AMPLITUD,LTRENDIDX,M,1995-08,101.4503
CHN,CLI,AMPLITUD,LTRENDIDX,M,1995-09,101.4385
CHN,CLI,AMPLITUD,LTRENDIDX,M,1995-10,101.3829
CHN,CLI,AMPLITUD,LTRENDIDX,M,1995-11,101.3009
CHN,CLI,AMPLITUD,LTRENDIDX,M,1995-12,101.2281
CHN,CLI,AMPLITUD,LTRENDIDX,M,1996-01,101.199
CHN,CLI,AMPLITUD,LTRENDIDX,M,1996-02,101.2412
CHN,CLI,AMPLITUD,LTRENDIDX,M,1996-03,101.4228
CHN,CLI,AMPLITUD,LTRENDIDX,M,1996-04,101.7833
CHN,CLI,AMPLITUD,LTRENDIDX,M,1996-05,102.3544
CHN,CLI,AMPLITUD,LTRENDIDX,M,1996-06,103.1229
CHN,CLI,AMPLITUD,LTRENDIDX,M,1996-07,103.9721
CHN,CLI,AMPLITUD,LTRENDIDX,M,1996-08,104.3859
CHN,CLI,AMPLITUD,LTRENDIDX,M,1996-09,104.5714
CHN,CLI,AMPLITUD,LTRENDIDX,M,1996-10,104.509
CHN,CLI,AMPLITUD,LTRENDIDX,M,1996-11,104.2098
CHN,CLI,AMPLITUD,LTRENDIDX,M,1996-12,103.7476
CHN,CLI,AMPLITUD,LTRENDIDX,M,1997-01,103.1794
CHN,CLI,AMPLITUD,LTRENDIDX,M,1997-02,102.617
CHN,CLI,AMPLITUD,LTRENDIDX,M,1997-03,102.0909
CHN,CLI,AMPLITUD,LTRENDIDX,M,1997-04,101.4776
CHN,CLI,AMPLITUD,LTRENDIDX,M,1997-05,100.754
CHN,CLI,AMPLITUD,LTRENDIDX,M,1997-06,99.9924
CHN,CLI,AMPLITUD,LTRENDIDX,M,1997-07,99.29331
CHN,CLI,AMPLITUD,LTRENDIDX,M,1997-08,98.70101
CHN,CLI,AMPLITUD,LTRENDIDX,M,1997-09,98.22796
CHN,CLI,AMPLITUD,LTRENDIDX,M,1997-10,97.87064
CHN,CLI,AMPLITUD,LTRENDIDX,M,1997-11,97.61386
CHN,CLI,AMPLITUD,LTRENDIDX,M,1997-12,97.44431
CHN,CLI,AMPLITUD,LTRENDIDX,M,1998-01,97.35967
CHN,CLI,AMPLITUD,LTRENDIDX,M,1998-02,97.39424
CHN,CLI,AMPLITUD,LTRENDIDX,M,1998-03,97.55466
CHN,CLI,AMPLITUD,LTRENDIDX,M,1998-04,97.80046
CHN,CLI,AMPLITUD,LTRENDIDX,M,1998-05,98.07182
CHN,CLI,AMPLITUD,LTRENDIDX,M,1998-06,98.32219
CHN,CLI,AMPLITUD,LTRENDIDX,M,1998-07,98.53997
CHN,CLI,AMPLITUD,LTRENDIDX,M,1998-08,98.73837
CHN,CLI,AMPLITUD,LTRENDIDX,M,1998-09,98.90447
CHN,CLI,AMPLITUD,LTRENDIDX,M,1998-10,99.03397
CHN,CLI,AMPLITUD,LTRENDIDX,M,1998-11,99.13183
CHN,CLI,AMPLITUD,LTRENDIDX,M,1998-12,99.21416
CHN,CLI,AMPLITUD,LTRENDIDX,M,1999-01,99.31417
CHN,CLI,AMPLITUD,LTRENDIDX,M,1999-02,99.45645
CHN,CLI,AMPLITUD,LTRENDIDX,M,1999-03,99.6628
CHN,CLI,AMPLITUD,LTRENDIDX,M,1999-04,99.90418
CHN,CLI,AMPLITUD,LTRENDIDX,M,1999-05,100.1353
CHN,CLI,AMPLITUD,LTRENDIDX,M,1999-06,100.2874
CHN,CLI,AMPLITUD,LTRENDIDX,M,1999-07,100.294
CHN,CLI,AMPLITUD,LTRENDIDX,M,1999-08,100.189
CHN,CLI,AMPLITUD,LTRENDIDX,M,1999-09,100.0364
CHN,CLI,AMPLITUD,LTRENDIDX,M,1999-10,99.88652
CHN,CLI,AMPLITUD,LTRENDIDX,M,1999-11,99.77309
CHN,CLI,AMPLITUD,LTRENDIDX,M,1999-12,99.69768
CHN,CLI,AMPLITUD,LTRENDIDX,M,2000-01,99.65768
CHN,CLI,AMPLITUD,LTRENDIDX,M,2000-02,99.62892
CHN,CLI,AMPLITUD,LTRENDIDX,M,2000-03,99.5773
CHN,CLI,AMPLITUD,LTRENDIDX,M,2000-04,99.4533
CHN,CLI,AMPLITUD,LTRENDIDX,M,2000-05,99.25631
CHN,CLI,AMPLITUD,LTRENDIDX,M,2000-06,99.00331
CHN,CLI,AMPLITUD,LTRENDIDX,M,2000-07,98.68381
CHN,CLI,AMPLITUD,LTRENDIDX,M,2000-08,98.31688
CHN,CLI,AMPLITUD,LTRENDIDX,M,2000-09,97.93832
CHN,CLI,AMPLITUD,LTRENDIDX,M,2000-10,97.61214
CHN,CLI,AMPLITUD,LTRENDIDX,M,2000-11,97.36444
CHN,CLI,AMPLITUD,LTRENDIDX,M,2000-12,97.16809
CHN,CLI,AMPLITUD,LTRENDIDX,M,2001-01,97.01561
CHN,CLI,AMPLITUD,LTRENDIDX,M,2001-02,96.92323
CHN,CLI,AMPLITUD,LTRENDIDX,M,2001-03,96.88097
CHN,CLI,AMPLITUD,LTRENDIDX,M,2001-04,96.84198
CHN,CLI,AMPLITUD,LTRENDIDX,M,2001-05,96.77129
CHN,CLI,AMPLITUD,LTRENDIDX,M,2001-06,96.67645
CHN,CLI,AMPLITUD,LTRENDIDX,M,2001-07,96.57056
CHN,CLI,AMPLITUD,LTRENDIDX,M,2001-08,96.4956
CHN,CLI,AMPLITUD,LTRENDIDX,M,2001-09,96.48529
CHN,CLI,AMPLITUD,LTRENDIDX,M,2001-10,96.56124
CHN,CLI,AMPLITUD,LTRENDIDX,M,2001-11,96.72408
CHN,CLI,AMPLITUD,LTRENDIDX,M,2001-12,96.95557
CHN,CLI,AMPLITUD,LTRENDIDX,M,2002-01,97.2373
CHN,CLI,AMPLITUD,LTRENDIDX,M,2002-02,97.56557
CHN,CLI,AMPLITUD,LTRENDIDX,M,2002-03,97.93787
CHN,CLI,AMPLITUD,LTRENDIDX,M,2002-04,98.29536
CHN,CLI,AMPLITUD,LTRENDIDX,M,2002-05,98.61939
CHN,CLI,AMPLITUD,LTRENDIDX,M,2002-06,98.90977
CHN,CLI,AMPLITUD,LTRENDIDX,M,2002-07,99.16497
CHN,CLI,AMPLITUD,LTRENDIDX,M,2002-08,99.40058
