"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1961-01",101.0632,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1961-02",100.8658,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1961-03",100.6448,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1961-04",100.4141,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1961-05",100.1946,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1961-06",100.0151,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1961-07",99.8751,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1961-08",99.76775,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1961-09",99.68626,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1961-10",99.6358,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1961-11",99.63161,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1961-12",99.65305,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1962-01",99.68026,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1962-02",99.68974,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1962-03",99.68797,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1962-04",99.68076,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1962-05",99.6532,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1962-06",99.584,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1962-07",99.47278,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1962-08",99.32802,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1962-09",99.16042,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1962-10",98.97412,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1962-11",98.79143,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1962-12",98.62537,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1963-01",98.50524,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1963-02",98.46275,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1963-03",98.52877,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1963-04",98.66466,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1963-05",98.83584,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1963-06",99.02512,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1963-07",99.21383,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1963-08",99.39713,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1963-09",99.5774,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1963-10",99.7767,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1963-11",100.0322,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1963-12",100.3535,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1964-01",100.7336,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1964-02",101.0978,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1964-03",101.3998,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1964-04",101.6321,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1964-05",101.7931,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1964-06",101.8696,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1964-07",101.8578,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1964-08",101.7865,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1964-09",101.6964,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1964-10",101.6199,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1964-11",101.5779,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1964-12",101.5559,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1965-01",101.5199,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1965-02",101.426,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1965-03",101.2753,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1965-04",101.096,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1965-05",100.9048,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1965-06",100.7053,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1965-07",100.5215,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1965-08",100.3493,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1965-09",100.1794,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1965-10",100.0019,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1965-11",99.84445,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1965-12",99.72563,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1966-01",99.6293,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1966-02",99.50257,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1966-03",99.29707,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1966-04",98.98972,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1966-05",98.58424,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1966-06",98.0938,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1966-07",97.54288,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1966-08",96.96058,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1966-09",96.38557,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1966-10",95.86501,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1966-11",95.47201,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1966-12",95.26228,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1967-01",95.24598,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","1967-02",95.40528,
