"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1990-01",100.2002,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1990-02",100.0685,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1990-03",99.99801,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1990-04",99.93277,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1990-05",99.84048,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1990-06",99.7028,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1990-07",99.50111,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1990-08",99.25247,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1990-09",99.00312,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1990-10",98.81596,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1990-11",98.74453,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1990-12",98.80072,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1991-01",98.95183,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1991-02",99.14964,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1991-03",99.34306,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1991-04",99.49317,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1991-05",99.55781,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1991-06",99.4931,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1991-07",99.31562,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1991-08",99.00002,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1991-09",98.66537,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1991-10",98.34525,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1991-11",98.0351,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1991-12",97.75325,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1992-01",97.5314,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1992-02",97.37804,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1992-03",97.30309,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1992-04",97.2558,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1992-05",97.21957,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1992-06",97.19319,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1992-07",97.19389,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1992-08",97.24567,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1992-09",97.36889,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1992-10",97.55154,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1992-11",97.77325,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1992-12",97.99466,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1993-01",98.18236,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","1993-02",98.35442,
